Actor,A_Acc,Avg_PartyTime,GuildAct_count,GuildJoin_count,Type
4359,6405899,6686.9714,1,0,Human
4389,6704301,8193.1687,1,0,Human
4396,6683982,4821.7653,6,1,Human
4432,6611137,9623.5,4,1,Human
4438,6610775,6039.119,1,1,Human
4476,6615220,5183.6667,1,0,Human
4555,6242016,0,0,0,Human
4565,4757810,0,0,0,Human
4630,4115991,0,0,0,Human
4641,6479341,6088.7692,0,0,Human
4670,6573951,5929.8232,2,0,Human
4732,4907861,7471.0154,4,1,Human
4742,6481287,0,0,0,Bot
4758,6595742,2051.4048,0,0,Human
4819,6697216,5047.1429,3,1,Human
4837,6636471,5449.8679,5,1,Human
4900,6527266,2114.5238,0,0,Human
4967,6188353,4688.1828,1,0,Human
5022,6350853,5898.4646,1,0,Human
5046,6235416,15229,0,0,Human
5244,4115991,0,0,0,Human
5297,5893738,6874.9856,2,1,Human
5396,6213975,5813.3793,0,0,Human
5528,4142072,2184.3333,0,0,Human
5545,6662829,5241,0,0,Human
5554,6465262,728.2,0,0,Human
5556,6698785,9344,1,1,Human
5590,2648551,5095.8926,4,0,Human
5699,6549517,6475.5385,0,0,Human
5725,6711605,719.5373,0,0,Human
5802,6712687,6238.5957,0,0,Human
5818,6555924,2268.8333,1,1,Bot
5851,890876,5036.8203,1,0,Human
5860,3787641,10069.8571,0,0,Human
5869,6465811,5063.7143,0,0,Human
5890,6420900,6546.9713,1,0,Human
5925,3092004,2024.8462,1,1,Human
6033,6339703,5431.6126,2,0,Human
6040,6575441,5904.9216,4,1,Human
6088,4288512,5944.9967,1,0,Human
6173,6198513,2969.2294,0,0,Bot
6186,3094957,6727.5714,0,0,Human
6187,6106357,0,0,0,Bot
6242,6343796,4246.096,0,0,Human
6273,6711064,2120.6667,0,0,Human
6280,6464358,969,0,0,Human
6297,5640690,7889.8788,0,0,Human
6327,6654852,2128.9643,2,1,Human
6437,6712467,10217.0702,2,0,Human
6457,6603822,5398.0976,2,1,Human
6459,6347992,3978.913,1,1,Human
6485,6602091,6261.3369,3,0,Human
6491,6576707,74,0,0,Human
6508,6385537,6210.3729,0,0,Human
6583,6125274,6277.9636,0,0,Human
6636,6521853,9770.5,0,0,Bot
6662,6383804,3813.6,0,0,Human
6671,6650738,9971,0,0,Human
6677,6707657,5648.846,1,0,Human
6689,6462885,5624.4551,3,1,Human
6704,6352654,4401.4483,2,1,Human
6758,6422656,5621.8,0,0,Human
6766,260234,0,0,0,Bot
6823,5087240,5502.4948,0,0,Human
6853,2592082,5562.4828,2,1,Human
6921,6681379,5297.1551,1,0,Human
6931,6123531,8746.1083,2,1,Human
6966,6596806,8022.9649,0,0,Human
7013,5223307,1521.4848,0,0,Human
7032,6393626,4600.9209,0,0,Human
7040,6218550,3915.1183,0,0,Human
7123,6649918,6708.18,0,0,Human
7139,6663292,11080.4444,1,0,Human
7174,6370142,4065.8953,1,0,Human
7185,5187375,0,0,0,Human
7193,6649807,0,0,0,Human
7293,6169221,0,0,0,Human
7326,5403097,5296,2,0,Human
7335,6666797,6185.7143,0,0,Human
7379,6358903,0,1,1,Human
7469,4166908,0,0,0,Bot
7484,6297419,5286.8092,0,0,Human
7496,6501791,4773.6787,4,1,Human
7505,6179212,5850.5745,0,0,Human
7561,6708461,6711.7885,0,0,Human
7575,6558970,605.25,0,0,Human
7788,6342739,5908.5248,1,0,Human
7795,6384810,2038,0,0,Human
7815,6658217,5412.4,0,0,Human
7819,6708189,4381.8333,0,0,Human
7822,6112445,6715.8455,2,0,Human
7830,6312808,4875.2,0,0,Human
7838,6582196,3454,0,0,Human
7859,6711605,3468.4324,0,0,Human
7862,6199175,0,2,0,Human
7876,6658827,3765.1339,0,0,Human
7914,6377333,6916.5366,0,0,Human
7915,3390166,6421.4643,0,0,Human
7949,6195275,4085,0,0,Human
8022,6180971,3985.1379,1,0,Human
8045,6688933,7003.3445,2,1,Human
8072,6235096,2056.6667,0,0,Human
8080,6669580,8428.9948,1,0,Human
8085,6320417,4635.4358,0,0,Bot
8107,2448092,4597.3333,0,0,Human
8117,6710920,0,0,0,Bot
8138,6662727,5518.528,7,1,Human
8153,6699529,5006.8,1,1,Human
8188,6700834,5492.1803,6,1,Human
8196,6412519,6402.9726,0,0,Human
8219,6712137,0,0,0,Human
8225,6297059,8263.2593,1,0,Human
8250,6635302,0,1,0,Bot
8282,6288023,8106.3884,2,1,Human
8287,6557182,7351.0198,3,1,Human
8325,6305936,8719.7105,0,0,Human
8362,6351401,6010.3808,0,0,Human
8424,6699186,6395.3286,1,0,Human
8448,4232729,8424.4052,1,0,Human
8510,6303070,7154.2233,2,0,Human
8532,6603009,5917.9592,2,1,Human
8569,6389759,6024.7087,0,0,Human
8621,6167680,6028.2632,2,1,Human
8640,6650941,8280.7167,4,1,Human
8663,6324745,1965,0,0,Human
8713,6209007,11146.25,0,0,Human
8747,6701711,4523.1667,0,0,Human
8753,6521534,3847.6646,4,1,Human
8792,6636724,6911.702,2,1,Human
8837,6573588,5440.5,0,0,Human
8844,6348193,7339.7104,5,1,Human
8857,6465500,0,1,1,Bot
8892,6713823,0,0,0,Human
8919,6234593,5845.6452,0,0,Human
8980,6712891,5827.7273,0,0,Human
8997,6362209,9087.5161,0,0,Human
9002,6286740,13406.9,7,1,Human
9014,6666840,0,0,0,Human
9095,6575640,6256.839,0,0,Human
9135,6474953,4644,0,0,Human
9146,6575974,5554.3182,7,1,Human
9158,6189887,3400,0,0,Human
9163,4582771,5920.5294,1,0,Human
9167,6576470,6005.5389,3,1,Human
9170,6420307,0,0,0,Human
9181,6351045,7194.1447,0,0,Human
9229,4543011,6751.7678,1,0,Human
9273,2704867,5209.278,3,1,Human
9291,6674214,19,0,0,Human
9346,6321097,4451.5682,0,0,Human
9384,2548738,5370,1,0,Human
9419,2686302,6867.9837,0,0,Human
9439,6533768,6711,2,0,Human
9488,4241952,4386.0588,0,0,Human
9537,6587353,6864.8571,1,0,Human
9635,6419350,7663,0,0,Human
9636,6697223,8391.7798,1,0,Human
9651,6306906,0,0,0,Bot
9652,4024992,7955.7778,0,0,Human
9675,6692196,5705.7939,0,0,Human
9680,6402499,6802.4668,0,0,Human
9693,6657497,6773,1,1,Human
9698,6125274,0,0,0,Human
9716,6710653,4462,0,0,Human
9767,6388901,8069.6462,1,0,Human
9851,6345641,6750.8172,1,0,Human
9884,4822382,0,0,0,Human
9969,6576769,3410.3333,0,0,Human
9972,6696061,4966.5672,1,0,Human
9977,6708067,10259,0,0,Human
9992,6249017,3418.75,0,0,Human
10002,6129182,6730.9412,0,0,Human
10033,6465713,4473.6232,3,0,Human
10044,6351474,3413.1,1,0,Human
10062,6145829,3937.6667,0,0,Human
10094,5376991,6999.0588,3,1,Human
10101,6483576,5671.7799,0,0,Human
10152,6334598,5808.9844,2,1,Human
10175,6293831,8679.1691,2,0,Human
10180,6230670,9529.5347,2,0,Human
10200,6707953,12817.5909,4,1,Human
10201,6348791,5855.0769,0,0,Human
10221,6599052,802.8387,0,0,Human
10222,4003785,6376.0248,1,0,Human
10264,6636724,0,0,0,Human
10268,6599051,7314.2083,1,0,Human
10313,6638368,4938.0822,1,0,Human
10366,6700611,3971.2749,0,0,Human
10403,6337154,0,0,0,Human
10452,6552272,3258,0,0,Human
10463,6193390,6093.7097,0,0,Human
10465,6336017,879,0,0,Bot
10503,6150707,7980.3214,0,0,Human
10504,4224327,5223.1345,3,1,Human
10674,4129739,4598.5962,2,0,Human
10720,4232729,7979.3433,0,0,Human
10751,2144015,3365.3302,0,0,Human
10764,6636724,1649,0,0,Human
10769,6611521,6939.3942,1,1,Human
10882,6355165,4121.632,4,1,Human
10883,6379671,8425,0,0,Human
10906,6171374,5829.7077,0,0,Human
10939,6596276,7443.6402,2,1,Human
10956,6645347,4673.7846,1,0,Human
10978,6329079,7624.1379,0,0,Human
11000,6707953,0,0,0,Human
11004,6552185,4319.5308,2,0,Human
11012,6676688,6068.2637,4,1,Human
11035,5079414,2658.4444,0,0,Human
11064,4877704,5767.8829,2,0,Human
11079,6215262,11822,0,0,Human
11121,6598561,5083.3333,0,0,Human
11254,6707953,5158.8333,1,0,Human
11285,6579380,6692.7332,3,1,Human
11305,6659962,5149.25,0,0,Human
11311,6700611,8055,2,1,Human
11436,6555354,7440.3939,0,0,Human
11449,6506778,5367.9525,1,0,Human
11455,2135831,3661.4194,5,1,Human
11458,6718803,7232.7347,1,0,Bot
11533,6688913,5100.7787,0,0,Human
11544,6538509,2253.5,0,0,Human
11554,3127559,5732.3077,0,0,Human
11585,2524533,1905,0,0,Human
11588,6560906,0,0,0,Human
11639,6682648,0,0,0,Human
11648,6448302,5903.0411,0,0,Human
11666,2135831,0,0,0,Human
11701,3509688,10803.3951,4,0,Human
11723,6623949,7194.4518,2,1,Human
11734,2123622,9178,0,0,Human
11754,6529294,7667,0,0,Human
11767,6526863,0,1,0,Bot
11806,6576272,11606.4444,0,0,Human
11829,6307392,5106.9562,5,1,Human
11852,6712660,4313.5,0,0,Human
11862,6550055,5502.2251,1,0,Human
11865,6213237,9353.0366,0,0,Human
11881,6597490,5166.8421,0,0,Human
11904,6541688,5073.0655,0,0,Human
11911,6400942,4204.6,0,0,Human
11957,6599411,2231.6667,0,0,Human
11963,6442251,6626.7937,1,1,Human
11974,6128314,6205.3892,0,0,Human
12015,6719542,4347.0098,3,0,Human
12046,6197227,9429,1,0,Human
12047,6622755,6476.9444,0,0,Human
12196,3958840,1861.8,0,0,Human
12198,6301663,4825.3313,2,1,Human
12208,5885374,1836.7568,0,0,Human
12232,6714256,6697.3793,2,1,Human
12264,6715086,6484.4839,2,1,Human
12293,6716312,4691.087,0,0,Human
12333,6563237,1996.3333,0,0,Human
12341,6189930,6884.5,0,0,Human
12450,6705100,6363.8594,1,0,Human
12458,6700359,0,0,0,Bot
12567,6707391,4190.6538,0,0,Human
12569,6410926,7543.7344,0,0,Human
12596,6710198,12871.3333,0,0,Human
12609,6521023,6977.2278,2,1,Human
12633,4892668,49922.3125,0,0,Human
12638,4058084,1064,0,0,Human
12642,5249389,4459,1,0,Human
12687,6538876,1775.2857,1,0,Human
12698,6365090,0,0,0,Human
12727,6712667,8731.4697,1,0,Human
12738,6721132,6195.4476,2,1,Human
12824,6164564,2101.8125,1,1,Human
12863,6202223,1099.2632,0,0,Human
12905,2825586,7658.52,1,0,Human
12906,6237426,7093.4315,3,1,Human
12912,6706970,0,0,0,Human
12926,6721132,0,2,1,Human
12980,6339703,291,0,0,Human
13083,6599650,6339.213,0,0,Human
13119,6496800,7918.0185,1,0,Human
13122,6545307,4488,3,1,Human
13150,6569168,7497.0435,3,1,Human
13153,6272636,1164.25,0,0,Human
13172,6717204,6770.7479,2,1,Human
13176,5098402,0,0,0,Human
13187,6488256,5403.1292,0,0,Human
13190,2421289,2588,0,0,Human
13200,6367502,3699.7143,2,1,Human
13209,6334623,4960.11,1,0,Human
13239,6334769,3781.375,0,0,Human
13240,6293690,6496.9097,3,1,Human
13244,6446459,5343.0294,0,0,Human
13261,6483044,287,0,0,Human
13312,6620439,6529.76,0,0,Human
13318,6535209,6629.6174,2,0,Human
13334,6356577,8881,0,0,Human
13346,6377405,4502.8212,2,0,Human
13355,6299629,5778.74,2,0,Human
13418,6721218,3575.6711,0,0,Human
13485,6488098,6143.3919,1,0,Human
13488,5413044,6674.3727,0,0,Human
13496,6596276,2122.2667,2,1,Human
13530,6345212,6359.3456,4,1,Human
13537,6312078,4949.7382,1,0,Human
13565,6667558,0,0,0,Bot
13593,6711322,5894.1765,1,0,Human
13601,6500860,0,0,0,Human
13602,2823937,4426.1364,1,0,Human
13603,6655767,0,0,0,Human
13631,6424822,5462.4786,6,1,Human
13635,6392955,8887.0155,0,0,Human
13649,6306198,921.1667,4,1,Human
13661,6269820,5692.9024,3,1,Human
13671,6635382,5628.8363,1,0,Human
13701,6317088,2575.3793,1,0,Human
13730,6712667,0,0,0,Human
13761,6521712,10267.3882,3,1,Human
13801,6251320,4482.8484,2,1,Human
13804,6591800,3468,0,0,Human
13829,6635188,7332.8078,1,0,Bot
13866,2460785,5808.4444,1,1,Human
13869,6488077,6655.1724,2,1,Human
13870,6702135,6019,0,0,Human
13896,6164664,3085.5455,1,0,Human
13937,6172739,7495.8824,0,0,Human
13945,6230903,19602.6667,1,0,Human
13952,6715268,5613.8688,4,1,Human
13961,6531962,3122.5758,0,0,Human
13976,6321969,5826.0364,2,0,Bot
13990,6528080,4787.2703,2,1,Human
14022,6325785,6495.9912,0,0,Human
14040,6520553,5651.5978,3,1,Human
14049,6578979,3965.4386,2,1,Human
14051,6721226,8507.9111,2,1,Human
14081,6477719,11047,0,0,Human
14092,6648031,2208.5789,0,0,Human
14148,6153566,5846.8545,3,1,Human
14157,2149535,0,0,0,Human
14243,6721212,4239.3824,0,0,Human
14244,6654491,9928.0811,2,1,Human
14273,6410926,6119.8889,1,0,Human
14286,2674596,0,1,0,Human
14346,6262552,6615.0741,0,0,Human
14354,6301844,4690.8,0,0,Human
14369,6527269,5132.75,0,0,Human
14372,6521184,7671.5,3,1,Human
14373,2237246,10336.25,0,0,Human
14405,6714754,3190.3919,2,1,Human
14406,6357823,8205.6324,2,0,Human
14419,6621742,5931.1218,0,0,Human
14437,6431576,6325.1111,1,0,Human
14439,6415901,5187.0714,1,1,Human
14494,6691223,5246.2353,0,0,Human
14568,6293092,0,0,0,Human
14619,6383837,8440.8214,0,0,Human
14641,6691887,6830.1028,1,1,Human
14689,6658772,4668.2215,3,1,Human
14725,6592929,1110,1,1,Human
14794,6256156,5677.6829,0,0,Human
14796,6709952,6841.5,1,1,Human
14813,5314276,5478.1395,3,0,Human
14843,6600618,5220.7955,4,1,Human
14961,6593185,8140.3617,0,0,Human
15041,6121469,5437.0355,1,0,Human
15046,6695808,8159.2107,2,0,Human
15054,4471672,0,0,0,Bot
15060,5814839,7728.1739,1,0,Human
15100,6696256,4902.9398,3,1,Human
15181,4332195,5185.1818,0,0,Human
15213,6372072,0,0,0,Human
15216,5720930,0,0,0,Bot
15353,6679554,2471.4,0,0,Human
15376,5082187,5625.6364,1,0,Human
15378,3490091,8764.9091,4,1,Human
15397,6721130,4566.8425,1,0,Human
15423,6683905,3705,0,0,Human
15493,6320469,3007,0,0,Human
15516,6448302,12554,0,0,Human
15520,6330065,14834.0333,0,0,Human
15530,6432382,5040.9767,2,1,Human
15535,6272776,0,0,0,Bot
15539,6721593,8807.2222,2,1,Human
15560,6283050,0,1,1,Human
15576,6716988,5430.7059,0,0,Human
15584,6106433,7127.7457,3,1,Human
15586,6302498,0,0,0,Human
15614,6516930,6699.7686,2,1,Human
15633,6681578,5537.0714,0,0,Human
15707,6713581,6704,0,0,Human
15709,6449155,8818.221,0,0,Human
15761,6318038,7396.6175,4,1,Human
15769,6675065,8805.6667,0,0,Human
15829,6173092,6908,0,0,Human
15906,6436829,4800.1053,0,0,Human
15926,6714323,1430.25,0,0,Human
15928,6187880,3026.2,0,0,Human
15931,6540980,8096.2273,1,1,Human
15938,6214652,8851.3846,1,1,Human
15940,6666505,0,0,0,Human
15967,4429337,11538.3333,0,0,Human
15969,6218383,5817.5156,3,1,Human
15983,6494106,0,0,0,Human
15995,6148040,460,2,1,Human
16035,2577732,0,1,0,Bot
16044,6577725,5557.6667,1,0,Human
16047,6712643,5990.3333,0,0,Human
16050,6383530,2983.5,0,0,Human
16077,6485515,0,0,0,Human
16081,6719948,5808.6105,2,1,Human
16092,6651859,1131.2,1,0,Human
16119,2183728,4667.2,0,0,Human
16161,6541355,0,0,0,Bot
16169,6234611,5994.2147,2,1,Human
16180,5075326,5692.3922,0,0,Human
16205,6658918,0,0,0,Human
16208,3994123,8817.66,1,0,Human
16214,6588738,18660,0,0,Human
16217,4346535,957,0,0,Human
16226,6553349,6316.8163,0,0,Bot
16311,6724025,2429.56,2,1,Human
16351,6726322,3809.8,1,0,Human
16386,6715627,0,0,0,Bot
16416,6670233,6012.7368,0,0,Human
16472,6712397,3422.8,0,0,Human
16527,3536332,1609.5,0,0,Human
16579,6381878,5318.3832,6,1,Human
16581,6631611,3489,0,0,Human
16589,6726427,5218.8142,1,0,Human
16643,6508632,0,0,0,Human
16696,6372090,5472.505,0,0,Human
16697,6689481,4545.8462,0,0,Human
16723,6574794,7765.1823,0,0,Human
16727,6301425,0,1,0,Bot
16791,6258582,6838,0,0,Human
16793,6360318,12438,0,0,Human
16810,6222717,7064.5602,6,1,Human
16822,6706804,0,0,0,Bot
16876,6719617,9629.4444,0,0,Human
16879,6602001,6296.6574,0,0,Human
16916,6111691,0,0,0,Human
16917,6221939,4991.0172,4,1,Human
16947,3186785,12996,0,0,Human
16974,6726707,1254,0,0,Human
17046,6497671,3813.3571,0,0,Human
17065,2413825,2327.3333,0,0,Human
17070,3995097,4476.3686,1,0,Bot
17107,6325548,4024.4839,3,1,Human
17118,6718298,0,0,0,Human
17138,6350445,8692.3395,0,0,Human
17143,6490540,8460,0,0,Human
17174,6585653,7414.1667,0,0,Human
17191,2907636,0,0,0,Bot
17208,6711889,7357.1111,1,0,Human
17210,6326393,7036.8846,2,1,Human
17214,5770920,1371.6667,0,0,Human
17215,6521024,10385.25,0,0,Human
17222,3993879,5306.687,1,0,Human
17250,6264811,3370.4894,0,0,Human
17271,6721481,5460.8718,1,1,Human
17299,6266098,6108.6392,1,0,Human
17304,6725568,5050.2128,1,1,Human
17309,6604734,184,0,0,Human
17321,6591838,3385.2857,0,0,Human
17447,4482853,7504.6667,0,0,Human
17486,3828622,6347.075,1,0,Human
17488,6584678,0,0,0,Human
17537,6718262,3021.2,0,0,Human
17580,6231841,0,1,0,Bot
17597,6723605,5666.9114,2,1,Human
17607,6710965,6495.1848,1,0,Human
17613,6723838,2216.6471,0,0,Human
17616,6357810,0,0,0,Human
17654,4531144,8219,2,0,Human
17662,6595760,5801.3816,2,1,Human
17679,6425855,5249,0,0,Human
17714,6308811,8559.7203,0,0,Human
17793,6573597,0,0,0,Human
17795,6699190,3973.1538,0,0,Human
17805,6638015,5408.05,2,1,Human
17810,6598885,7638.2545,0,0,Human
17831,6424274,6806.8571,0,0,Human
17844,6625955,3686.5714,0,0,Human
17895,3847820,4230.25,0,0,Human
17899,3948950,6385,1,0,Bot
17970,6666761,6250.9591,1,0,Human
17975,6302541,3991.9836,0,0,Human
18024,6638579,7499.1349,0,0,Human
18033,6306433,5285.4614,1,0,Human
18048,6719699,2146.3,1,0,Human
18126,6439522,0,0,0,Human
18182,6405987,1369,0,0,Human
18241,6714508,7126.5233,1,0,Human
18242,6632555,2076.6364,0,0,Human
18260,6396828,4245.25,1,1,Human
18306,5797735,5636.403,3,1,Human
18307,6718298,1653,0,0,Human
18384,6609896,11358.1111,2,1,Human
18411,6318363,5973.648,0,0,Human
18531,6382766,5711.09,1,0,Human
18539,6605970,6986.9783,0,0,Human
18564,6326808,0,0,0,Human
18577,6563117,9765.2727,0,0,Human
18591,6725084,6906.0283,0,0,Human
18651,6556398,6887,0,0,Human
18690,6724566,0,0,0,Human
18711,6667550,4364.7344,2,0,Human
18724,6688768,0,0,0,Human
18755,6728480,4971.632,0,0,Human
18873,4319952,6417.9074,2,0,Human
18932,6725551,9567.1154,0,0,Human
18975,2054782,7468.913,0,0,Human
19010,6499998,6493.0163,2,0,Human
19034,6662558,6016.3885,0,0,Human
19089,6664760,4019.8788,0,0,Human
19122,6209497,8416.1935,1,1,Human
19210,6724449,4859.1104,1,0,Human
19217,6269840,7483.6471,8,1,Human
19231,6710658,7941.4,0,0,Human
19236,4274703,6392.4752,9,1,Human
19333,6374559,7917.1129,2,1,Human
19362,6725876,0,0,0,Human
19381,6661151,7733.56,1,1,Human
19397,6493480,6738.0539,5,1,Human
19418,6701128,0,0,0,Human
19424,6126968,9611.1429,0,0,Human
19500,6724986,5448.2175,0,0,Human
19530,6598997,5484.3057,5,1,Human
19615,5055258,2351,0,0,Bot
19629,6145845,4991.1759,1,0,Human
19651,6641394,8330.0909,0,0,Human
19682,6730336,2263.1935,4,1,Human
19744,6705537,0,0,0,Human
19756,6451426,5671.2908,1,0,Human
19762,6552941,5316.2747,3,1,Human
19772,6267114,283,0,0,Human
19774,6303707,5023.3333,0,0,Human
19812,6580072,6937.248,3,0,Human
19847,6592670,6035.655,4,1,Human
19945,6519056,5988.0323,1,0,Human
19955,6567359,4715.6667,0,0,Human
19973,6650406,7044.037,0,0,Human
19974,3280805,4826.3243,2,1,Human
20024,6719427,5415.0714,0,0,Human
20030,6559412,4187.7304,5,1,Human
20060,6493741,2851,0,0,Human
20071,6710456,5733.7294,0,0,Human
20082,6275550,9788.2,0,0,Human
20087,6496869,0,0,0,Human
20123,6385792,5912.6211,3,1,Human
20137,6728480,0,0,0,Human
20152,6730336,1259.4,0,0,Human
20198,6668992,0,0,0,Human
20239,6275891,6828.6667,0,0,Human
20284,6601446,4699.7101,1,0,Human
20316,6401360,6028.062,1,1,Human
20367,6271918,6102.7667,0,0,Human
20373,6146494,5551.3514,5,1,Human
20411,6362306,5597.1652,2,0,Human
20416,6385646,0,0,0,Bot
20476,6657758,0,0,0,Bot
20483,6209238,6451.9944,1,0,Human
20494,6726398,1821.8,1,0,Human
20510,6666058,6791.0909,0,0,Human
20519,6607123,8678.9789,1,0,Human
20520,3063577,5365.2863,1,0,Human
20527,6134100,7372.0876,0,0,Human
20535,4352966,3752.8966,2,0,Human
20566,6291326,58,0,0,Human
20571,6491931,5297.303,3,1,Human
20577,4448460,7200.4717,4,1,Human
20578,6589025,7559.6296,0,0,Human
20584,3999942,7358.5035,2,1,Human
20599,6698742,3340.6429,0,0,Human
20624,6728887,3356,0,0,Human
20627,6478635,3271.5714,0,0,Human
20678,6714779,6571.0432,1,0,Human
20718,4531130,5447,0,0,Human
20730,6694747,8486.9167,3,1,Human
20759,6670752,4379.2,0,0,Human
20814,6398113,2932.4535,3,1,Human
20835,6725876,0,0,0,Human
20883,6287903,5497.5934,0,0,Human
20895,6335344,1752.7143,1,0,Human
20915,6729122,6340.9437,0,0,Human
20921,6726050,5142.8182,3,1,Human
20946,6728553,5924.1215,1,0,Human
20970,6504335,6194.3505,1,0,Human
20992,6583321,4373.3801,0,0,Human
21008,6697449,2626.8667,0,0,Human
21009,6564067,11843,0,0,Human
21053,3978153,3651.7941,1,0,Human
21083,4195119,9048.5714,1,0,Human
21162,6730267,7087.0317,0,0,Human
21240,6328579,17899,1,0,Human
21266,6693221,4897.6667,0,0,Human
21292,6336134,2325,0,0,Human
21315,6430518,0,0,0,Bot
21320,6441068,4631.8696,0,0,Human
21353,6662210,7663.2885,3,1,Human
21409,6624750,6391.1667,2,1,Human
21477,6645455,0,0,0,Human
21478,6651993,0,1,0,Bot
21533,6645261,176,0,0,Human
21587,6393168,0,1,0,Human
21588,6666157,5646.6866,0,0,Human
21602,6168371,3720,1,1,Human
21608,6721513,0,0,0,Human
21640,6168371,4109.8684,2,1,Human
21652,6716434,19870.5,0,0,Human
21671,6351493,8753.4118,2,1,Human
21709,6718886,0,0,0,Human
21716,6425508,5119.6667,0,0,Human
21726,6394784,250127.5,0,0,Bot
21742,4033537,2903.3333,0,0,Human
21766,6543085,8959,0,0,Human
21820,6551424,3488.5122,0,0,Human
21824,6295734,1292.2,0,0,Human
21825,6252773,5238.15,1,1,Human
21826,6697851,0,0,0,Human
21835,6163078,3158.2817,0,0,Human
21855,6433841,5436.0224,1,0,Human
21865,3922706,8704.3773,0,0,Human
21884,6695562,8393.9292,0,0,Human
21893,4201722,8487.9634,0,0,Human
21903,2393611,11684.875,0,0,Human
21907,6727284,7067.6279,2,0,Human
21929,6435673,3906.268,2,1,Human
21933,6732804,5010.8644,0,0,Bot
21935,6416438,4739.3426,1,0,Human
21962,6374933,5932.25,1,0,Human
21972,6344093,6270.4352,5,1,Human
22006,6698373,0,0,0,Bot
22019,6728442,0,0,0,Human
22040,6326480,6681.1897,1,0,Human
22071,6515098,7827.5529,0,0,Human
22081,6699225,8072.2792,0,0,Human
22084,6716260,3519.25,1,1,Human
22093,4474942,5264.3333,1,0,Human
22102,6671981,5039.8235,2,1,Human
22131,6578172,0,0,0,Bot
22147,6585816,10118.269,1,0,Human
22184,6363573,5885.5686,2,0,Human
22204,6189004,7078.3071,1,0,Human
22244,15272,4499.0294,1,0,Human
22261,6665052,8789.5291,3,1,Human
22300,6222699,0,0,0,Human
22344,6361889,0,0,0,Human
22351,6576255,4340.2,2,1,Human
22371,6733548,7889.0048,1,0,Human
22379,3703998,0,0,0,Human
22382,6685559,6260.7778,1,0,Human
22402,6733801,13261.8182,1,0,Human
22434,6310412,3895.381,0,0,Human
22441,6250806,8283.986,0,0,Human
22452,6450573,1242.2619,0,0,Human
22470,6471629,10399.9245,1,0,Human
