Actor,A_Acc,Login_day_count,Logout_day_count,Playtime,playtime_per_day,avg_money,Login_count,ip_count,Max_level,Type
6187,6106357,15,17,865715,50924.4118,5065.5538,33,1,45,Bot
6242,6343796,75,75,2608632,34781.76,225526.6999,468,7,55,Human
6273,6711064,6,6,16987,2831.1667,625.3505,7,5,36,Human
6280,6464358,51,51,63695,1248.9216,4352.7231,83,7,50,Human
6297,5640690,47,46,999128,21720.1739,6539.1228,103,31,55,Human
6327,6654852,12,12,70280,5856.6667,7303.9155,29,5,43,Human
6437,6712467,86,86,2397401,27876.7558,39299.6413,296,7,55,Human
6457,6603822,52,48,1429327,29777.6458,10089.6237,159,10,52,Human
6459,6347992,14,14,80056,5718.2857,191.3404,38,10,29,Human
6485,6602091,88,87,2499142,28725.7701,45806.2691,451,9,55,Human
6491,6576707,45,45,37253,827.8444,2306.3418,93,15,50,Human
6508,6385537,78,78,2524659,32367.4231,175211.5093,190,1,55,Human
6583,6125274,56,54,623016,11537.3333,59247.6556,76,6,52,Human
6636,6521853,6,6,34375,5729.1667,2627.0696,8,3,46,Bot
6662,6383804,72,73,258473,3540.726,271004.2807,228,19,37,Human
6671,6650738,9,9,60059,6673.2222,432.7095,10,8,27,Human
6677,6707657,88,88,3155587,35858.9432,28373.9834,391,9,55,Human
6689,6462885,88,88,2932731,33326.4886,40871.6125,421,34,55,Human
6704,6352654,73,70,1041020,14871.7143,156169.7447,158,3,55,Human
6758,6422656,5,5,27669,5533.8,990.5633,12,2,50,Human
6766,260234,6,6,494844,82474,487.709,14,2,50,Bot
6823,5087240,59,52,1195359,22987.6731,137424.9806,113,15,55,Human
6853,2592082,38,38,231040,6080,90744.5133,85,1,49,Human
6921,6681379,54,56,929090,16590.8929,38467.7883,219,42,55,Human
6931,6123531,83,83,1955988,23566.1205,209902.823,368,1,55,Human
6966,6596806,54,53,868252,16382.1132,16984.1472,143,24,55,Human
7013,5223307,56,56,53842,961.4643,13733.5598,175,13,20,Human
7032,6393626,69,70,1391691,19881.3,93815.0919,233,6,54,Human
7040,6218550,74,72,701735,9746.3194,3309.316,302,11,54,Human
7123,6649918,20,20,228041,11402.05,7177.5155,65,5,50,Human
7139,6663292,19,17,79579,4681.1176,23032.5693,34,11,51,Human
7174,6370142,63,62,164112,2646.9677,14382.0712,165,27,51,Human
7185,5187375,4,4,11604,2901,51761.3813,6,1,48,Human
7193,6649807,6,6,17540,2923.3333,81.0448,7,3,24,Human
7293,6169221,72,72,22767,316.2083,47097.5365,150,16,31,Human
7326,5403097,4,5,68151,13630.2,2988.0804,14,5,50,Human
7335,6666797,4,4,39282,9820.5,655.3024,9,4,50,Human
7379,6358903,10,10,40408,4040.8,1000.8051,23,2,51,Human
7469,4166908,41,41,197734,4822.7805,206515.7102,105,7,41,Bot
7484,6297419,88,88,1328811,15100.125,633515.8213,615,18,55,Human
7496,6501791,84,84,2297089,27346.2976,16002.345,407,33,55,Human
7505,6179212,41,44,918251,20869.3409,22031.7461,159,18,51,Human
7561,6708461,23,23,498917,21692.0435,8449.7394,76,12,51,Human
7575,6558970,21,21,25536,1216,15153.0988,31,2,50,Human
7788,6342739,88,88,2876982,32692.9773,140856.7614,732,9,55,Human
7795,6384810,12,12,81882,6823.5,33513.0542,23,7,50,Human
7815,6658217,13,13,49785,3829.6154,106219.9577,17,1,44,Human
7819,6708189,33,33,259818,7873.2727,1625.6655,44,21,51,Human
7822,6112445,40,42,913678,21754.2381,15981.2916,164,21,53,Human
7830,6312808,5,5,52930,10586,1314.1833,6,4,51,Human
7838,6582196,23,24,78829,3284.5417,40033.0549,38,4,41,Human
7859,6711605,68,68,180121,2648.8382,2792.434,191,17,47,Human
7862,6199175,14,14,18444,1317.4286,111197.0334,25,9,50,Human
7876,6658827,71,71,2744177,38650.3803,50898.4854,261,7,55,Human
7914,6377333,76,75,831828,11091.04,7567.4516,251,10,55,Human
7915,3390166,18,18,192250,10680.5556,2605.736,35,6,53,Human
7949,6195275,2,2,29728,14864,3301.815,5,2,32,Human
8022,6180971,17,18,148930,8273.8889,4204.1143,57,12,51,Human
8045,6688933,67,67,1081249,16138.0448,13690.2789,217,31,55,Human
8072,6235096,12,12,18145,1512.0833,478.4138,18,7,38,Human
8080,6669580,72,70,2124590,30351.2857,19516.5986,192,12,55,Human
8085,6320417,88,88,5763766,65497.3409,890574.2297,1065,19,55,Bot
8107,2448092,30,31,115125,3713.7097,16252.6237,57,5,51,Human
8117,6710920,7,7,422290,60327.1429,10952.1057,116,7,50,Bot
8138,6662727,70,71,1156242,16285.0986,36379.618,379,9,55,Human
8153,6699529,46,47,208870,4444.0426,75875.2175,99,19,52,Human
8188,6700834,84,81,1931726,23848.4691,151401.6296,221,12,55,Human
8196,6412519,41,45,675390,15008.6667,48516.8189,157,32,53,Human
8219,6712137,33,33,71308,2160.8485,11477.0857,67,5,45,Human
8225,6297059,71,68,1245471,18315.75,113643.9142,170,14,55,Human
8250,6635302,87,83,6895940,83083.6145,17908.4124,804,2,55,Bot
8282,6288023,72,72,994362,13810.5833,19082.1998,407,1,55,Human
8287,6557182,23,24,690738,28780.75,3658.4388,108,27,55,Human
8325,6305936,34,34,491210,14447.3529,3654.8267,99,15,51,Human
8362,6351401,88,88,2238441,25436.8295,58004.5755,379,2,55,Human
8424,6699186,43,43,670509,15593.2326,24495.0993,132,10,55,Human
8448,4232729,53,54,999062,18501.1481,23142.3031,256,5,55,Human
8510,6303070,35,36,1057870,29385.2778,23879.6311,227,5,51,Human
8532,6603009,26,27,288951,10701.8889,16048.0426,94,17,52,Human
8569,6389759,85,84,1825865,21736.4881,106498.7147,379,19,55,Human
8621,6167680,6,7,122074,17439.1429,2159.7797,35,7,51,Human
8640,6650941,48,48,451710,9410.625,17228.2243,174,20,51,Human
8663,6324745,24,24,36215,1508.9583,25523.0548,37,2,34,Human
8713,6209007,10,10,37327,3732.7,107.385,13,9,50,Human
8747,6701711,7,8,24039,3004.875,5357.0474,7,7,50,Human
8753,6521534,88,88,1882077,21387.2386,37820.116,597,31,55,Human
8792,6636724,69,71,1834972,25844.6761,59265.4254,327,38,55,Human
8837,6573588,4,3,23990,7996.6667,58802.889,6,2,51,Human
8844,6348193,80,81,2549992,31481.3827,27055.526,584,19,55,Human
8857,6465500,16,16,1088022,68001.375,2196.124,48,3,52,Bot
8892,6713823,25,26,16682,641.6154,89655.3848,56,1,50,Human
8919,6234593,42,41,596340,14544.878,2471.4792,97,9,53,Human
8980,6712891,44,43,311717,7249.2326,10287.3132,95,13,51,Human
8997,6362209,55,55,392377,7134.1273,342796.6669,158,1,50,Human
9002,6286740,42,42,127612,3038.381,51003.0107,136,19,51,Human
9014,6666840,31,30,294883,9829.4333,4509.491,80,17,36,Human
9095,6575640,69,70,1198020,17114.5714,33207.0327,181,32,55,Human
9135,6474953,11,12,79770,6647.5,50355.5464,19,11,51,Human
9146,6575974,87,87,2930628,33685.3793,7258.6585,398,35,55,Human
9158,6189887,2,2,10822,5411,7590.0379,2,2,51,Human
9163,4582771,81,80,2432149,30401.8625,22527.9472,483,8,55,Human
9167,6576470,87,82,2457752,29972.5854,93903.6875,358,41,55,Human
9170,6420307,35,35,38275,1093.5714,9144.0617,66,5,10,Human
9181,6351045,44,43,626978,14580.8837,9145.7371,82,38,55,Human
9229,4543011,85,85,2023890,23810.4706,195058.3851,547,10,55,Human
9273,2704867,75,85,2641638,31078.0941,5805.0883,308,32,55,Human
9291,6674214,4,4,12830,3207.5,87.4816,4,4,37,Human
9346,6321097,70,70,611157,8730.8143,10500.021,286,4,55,Human
9384,2548738,3,3,18269,6089.6667,2843.7245,11,3,50,Human
9419,2686302,62,62,960091,15485.3387,5923.1058,204,33,54,Human
9439,6533768,49,50,452951,9059.02,4857.7354,147,22,55,Human
9488,4241952,12,12,22814,1901.1667,19.7308,23,3,37,Human
9537,6587353,60,60,1604599,26743.3167,26280.4347,183,7,55,Human
9635,6419350,18,18,14840,824.4444,1753.5342,25,4,50,Human
9636,6697223,52,51,933445,18302.8431,73666.074,132,13,55,Human
9651,6306906,6,7,449693,64241.8571,9793.3754,17,5,40,Bot
9652,4024992,17,17,81409,4788.7647,57094.2283,28,2,51,Human
9675,6692196,82,82,769612,9385.5122,7771.4108,380,28,55,Human
9680,6402499,77,77,2854226,37067.8701,17539.2517,562,13,55,Human
9693,6657497,16,16,68486,4280.375,520.5967,61,14,51,Human
9698,6125274,9,9,19773,2197,3501.1666,11,2,33,Human
9716,6710653,6,6,32948,5491.3333,10729.0678,10,5,47,Human
9767,6388901,71,69,1070938,15520.8406,107769.6995,261,63,55,Human
9851,6345641,59,60,1141959,19032.65,126056.3391,313,9,53,Human
9884,4822382,17,17,20923,1230.7647,0,36,1,1,Human
9969,6576769,47,47,31361,667.2553,34593.6251,156,4,38,Human
9972,6696061,72,70,1608417,22977.3857,16741.4375,166,46,55,Human
9977,6708067,4,4,86787,21696.75,5259.1496,8,3,27,Human
9992,6249017,58,57,29924,524.9825,1613.1202,87,2,21,Human
10002,6129182,62,64,747142,11674.0938,36602.6832,169,13,52,Human
10033,6465713,85,85,3470073,40824.3882,889644.7029,993,14,55,Human
10044,6351474,49,49,39408,804.2449,73507.9481,101,4,48,Human
10062,6145829,17,17,100184,5893.1765,1551.0196,50,6,51,Human
10094,5376991,21,21,263776,12560.7619,35971.6218,39,6,50,Human
10101,6483576,81,78,1809453,23198.1154,61264.1735,228,45,55,Human
10152,6334598,25,24,648728,27030.3333,110793.8351,58,20,55,Human
10175,6293831,64,63,4687638,74406.9524,175.6006,274,18,51,Human
10180,6230670,75,74,1917350,25910.1351,144148.8138,236,3,55,Human
10200,6707953,30,31,372872,12028.129,26977.7308,99,6,52,Human
10201,6348791,59,58,1323090,22811.8966,12139.9885,107,10,53,Human
10221,6599052,27,27,1069268,39602.5185,30750.4287,41,3,50,Human
10222,4003785,88,88,4093744,46519.8182,44033.7059,822,3,55,Human
10264,6636724,35,35,12987,371.0571,53935.6033,55,19,10,Human
10268,6599051,79,79,1272347,16105.6582,42355.2169,203,54,52,Human
10313,6638368,87,87,2427263,27899.5747,6833.2297,554,5,55,Human
10366,6700611,76,78,1694060,21718.7179,127648.191,332,24,55,Human
10403,6337154,4,4,17362,4340.5,34114.5128,6,5,50,Human
10452,6552272,67,69,415897,6027.4928,650975.0743,225,4,51,Human
10463,6193390,48,46,841268,18288.4348,46026.0206,127,3,54,Human
10465,6336017,6,7,558597,79799.5714,386.8893,15,3,46,Bot
10503,6150707,48,48,339125,7065.1042,108393.9278,91,40,51,Human
10504,4224327,88,88,2822360,32072.2727,120256.5615,694,1,55,Human
10674,4129739,87,87,2096145,24093.6207,26946.019,666,5,55,Human
10720,4232729,46,47,348884,7423.0638,24318.6661,157,5,50,Human
10751,2144015,79,80,590570,7382.125,33489.5339,500,12,52,Human
10764,6636724,63,64,432963,6765.0469,53363.7618,204,31,36,Human
10769,6611521,77,75,1161922,15492.2933,59946.6703,186,9,55,Human
10882,6355165,74,73,1562207,21400.0959,10857.368,391,34,55,Human
10883,6379671,44,44,109974,2499.4091,8304.7251,95,11,44,Human
10906,6171374,21,21,354605,16885.9524,41540.5315,80,2,51,Human
10939,6596276,84,84,1461720,17401.4286,55860.0002,512,33,55,Human
10956,6645347,52,52,648950,12479.8077,30730.0224,162,29,53,Human
10978,6329079,53,52,392946,7556.6538,15627.8078,135,7,53,Human
11000,6707953,24,24,32120,1338.3333,25357.4072,49,5,35,Human
11004,6552185,61,61,1148321,18824.9344,48250.8837,235,25,51,Human
11012,6676688,63,65,1251063,19247.1231,57012.3177,187,41,54,Human
11035,5079414,7,9,104628,11625.3333,588.2134,14,9,38,Human
11064,4877704,76,76,859849,11313.8026,31121.4912,275,8,55,Human
11079,6215262,6,6,31994,5332.3333,25174.0626,8,3,51,Human
11121,6598561,20,20,168251,8412.55,4780.1623,55,2,50,Human
11254,6707953,29,29,300719,10369.6207,23871.5156,71,6,52,Human
11285,6579380,88,88,3228329,36685.5568,305698.7951,856,3,55,Human
11305,6659962,4,5,42261,8452.2,10904.1091,14,4,37,Human
11311,6700611,67,67,122715,1831.5672,98637.4246,153,18,26,Human
11436,6555354,38,38,369228,9716.5263,3757.8378,85,31,52,Human
11449,6506778,82,86,2211564,25715.8605,25531.7069,160,18,55,Human
11455,2135831,42,42,984748,23446.381,16475.2063,179,20,52,Human
11458,6718803,66,67,456767,6817.4179,41731.5834,202,29,53,Bot
11533,6688913,77,80,763066,9538.325,17917.0868,205,34,53,Human
11544,6538509,42,41,51333,1252.0244,5290.7263,61,1,41,Human
11554,3127559,14,15,66354,4423.6,5106.8652,27,8,46,Human
11585,2524533,4,4,12116,3029,249.5177,5,2,32,Human
11588,6560906,7,6,430240,71706.6667,6570.3339,27,6,50,Human
11639,6682648,13,13,968129,74471.4615,18410.4755,382,1,50,Human
11648,6448302,44,44,1110365,25235.5682,15605.7999,146,25,52,Human
11666,2135831,20,20,12699,634.95,3317.0392,47,7,10,Human
11701,3509688,52,54,909834,16848.7778,12000.9736,224,4,53,Human
11723,6623949,83,86,1670848,19428.4651,156659.9878,310,63,55,Human
11734,2123622,38,38,68637,1806.2368,6221.0218,70,6,51,Human
11754,6529294,13,13,16862,1297.0769,2093.9204,15,1,44,Human
11767,6526863,4,4,18445,4611.25,20061.6815,3,2,34,Bot
11806,6576272,7,7,35307,5043.8571,42514.5503,8,1,50,Human
11829,6307392,84,85,2203742,25926.3765,37292.2532,222,51,55,Human
11852,6712660,46,46,140959,3064.3261,3481.2184,84,10,45,Human
11862,6550055,33,33,1103950,33453.0303,26357.787,176,23,50,Human
11865,6213237,47,45,658342,14629.8222,17474.91,196,8,51,Human
11881,6597490,50,51,347323,6810.2549,3838.6136,184,18,51,Human
11904,6541688,51,50,732591,14651.82,401836.2739,249,9,53,Human
11911,6400942,12,12,69996,5833,653.2129,15,11,50,Human
11957,6599411,3,3,13202,4400.6667,2906.2159,3,3,51,Human
11963,6442251,53,53,1501067,28322.0189,10667.351,278,22,53,Human
11974,6128314,45,44,1345465,30578.75,17604.8968,215,4,50,Human
12015,6719542,87,87,2752251,31635.069,103241.4779,573,17,55,Human
12046,6197227,16,16,20332,1270.75,1801.4403,37,7,51,Human
12047,6622755,59,59,339300,5750.8475,34290.4149,246,2,51,Human
12196,3958840,1,1,16825,16825,1726.6295,6,2,41,Human
12198,6301663,81,80,2471626,30895.325,14473.0764,439,35,55,Human
12208,5885374,13,13,83673,6436.3846,10223.5209,28,7,39,Human
12232,6714256,72,72,957909,13304.2917,3994.3505,344,33,53,Human
12264,6715086,40,41,221905,5412.3171,2165.0654,109,18,51,Human
12293,6716312,73,73,1603750,21969.1781,547289.6538,644,1,55,Human
12333,6563237,12,12,19694,1641.1667,60081.3421,16,2,42,Human
12341,6189930,6,6,54528,9088,383.6169,16,5,51,Human
12450,6705100,83,87,1759414,20223.1494,38850.6506,610,18,55,Human
12458,6700359,8,9,544440,60493.3333,6611.9057,20,8,39,Bot
12567,6707391,22,22,235474,10703.3636,15074.2853,65,19,52,Human
12569,6410926,26,26,499362,19206.2308,9486.974,137,6,50,Human
12596,6710198,38,38,125090,3291.8421,23129.8949,75,1,50,Human
12609,6521023,54,50,991246,19824.92,13029.8797,225,9,52,Human
12633,4892668,25,24,1796259,74844.125,1857.3926,42,4,50,Human
12638,4058084,11,11,37018,3365.2727,313.3843,14,7,27,Human
12642,5249389,26,26,210899,8111.5,118990.0618,70,4,51,Human
12687,6538876,59,60,397259,6620.9833,7483.4504,171,7,53,Human
12698,6365090,35,35,16939,483.9714,689.6031,44,2,22,Human
12727,6712667,38,37,1124697,30397.2162,28920.5382,103,16,55,Human
12738,6721132,55,58,775021,13362.431,24838.3732,230,36,54,Human
12824,6164564,12,13,45016,3462.7692,104.5705,20,6,34,Human
12863,6202223,51,51,175718,3445.451,12431.7999,122,11,38,Human
12905,2825586,12,12,410329,34194.0833,24192.9607,46,13,53,Human
12906,6237426,61,63,1168261,18543.8254,30889.9309,141,14,55,Human
12912,6706970,14,14,17910,1279.2857,31599.2592,21,5,43,Human
12926,6721132,39,40,176668,4416.7,7237.1934,86,27,34,Human
12980,6339703,68,68,265108,3898.6471,16345.5716,220,20,48,Human
13083,6599650,76,76,914696,12035.4737,12709.488,391,24,55,Human
13119,6496800,50,51,588392,11537.098,107664.2494,106,5,53,Human
13122,6545307,75,76,1674099,22027.6184,74776.9818,414,19,54,Human
13150,6569168,10,9,235997,26221.8889,3734.0831,22,7,50,Human
13153,6272636,74,74,135046,1824.9459,25749.5032,251,24,42,Human
13172,6717204,54,56,1666302,29755.3929,11127.3336,190,9,55,Human
13176,5098402,8,8,15198,1899.75,12264.2603,13,1,43,Human
13187,6488256,88,87,2035111,23392.0805,8476.6135,726,27,55,Human
13190,2421289,5,5,69183,13836.6,1817.4562,7,4,50,Human
13200,6367502,7,7,47491,6784.4286,4843.8081,16,9,50,Human
13209,6334623,84,84,1780290,21193.9286,29395.174,362,7,55,Human
13239,6334769,15,15,70071,4671.4,2761.8717,28,14,51,Human
13240,6293690,80,79,855586,10830.2025,21703.2942,157,8,53,Human
13244,6446459,66,66,961834,14573.2424,33753.9088,228,73,55,Human
13261,6483044,40,40,235502,5887.55,68792.4417,94,21,51,Human
13312,6620439,5,5,112493,22498.6,1615.6384,11,2,50,Human
13318,6535209,77,77,2477552,32176,10678.6172,510,3,55,Human
13334,6356577,42,43,508523,11826.1163,23008.5936,74,42,46,Human
13346,6377405,80,78,1718198,22028.1795,25552.5844,273,63,53,Human
13355,6299629,31,32,744940,23279.375,7126.7059,197,1,53,Human
13418,6721218,62,65,895527,13777.3385,4588.9773,236,2,55,Human
13485,6488098,68,69,1598698,23169.5362,99518.8399,238,9,55,Human
13488,5413044,62,62,1476267,23810.7581,37113.5324,273,6,55,Human
13496,6596276,71,71,329176,4636.2817,48915.9543,184,18,44,Human
13530,6345212,85,85,1441571,16959.6588,25498.5306,411,20,55,Human
13537,6312078,85,85,2476830,29139.1765,19666.4627,374,1,55,Human
13565,6667558,9,10,656373,65637.3,2565.7902,19,4,26,Bot
13593,6711322,14,14,110416,7886.8571,12721.7408,27,10,50,Human
13601,6500860,20,21,60773,2893.9524,27483.1092,36,18,50,Human
13602,2823937,71,69,1056337,15309.2319,12127.2161,204,4,55,Human
13603,6655767,14,14,29395,2099.6429,562.1004,15,8,43,Human
13631,6424822,83,82,2191335,26723.5976,30902.167,402,34,55,Human
13635,6392955,80,80,2405869,30073.3625,84633.5252,304,8,55,Human
13649,6306198,79,79,120232,1521.9241,17047.0699,253,23,40,Human
13661,6269820,87,88,2110128,23978.7273,12495.4829,423,17,55,Human
13671,6635382,77,76,2346600,30876.3158,10050.087,317,20,55,Human
13701,6317088,23,23,51125,2222.8261,2173.0846,57,11,51,Human
13730,6712667,18,18,14976,832,31956.9109,29,8,44,Human
13761,6521712,37,35,899191,25691.1714,27856.948,78,15,55,Human
13801,6251320,83,84,3461406,41207.2143,30703.3943,895,35,55,Human
13804,6591800,4,4,15755,3938.75,10748.6849,4,4,50,Human
13829,6635188,65,64,1772225,27691.0156,26310.6377,199,48,55,Bot
13866,2460785,42,40,222610,5565.25,327.34,72,1,41,Human
13869,6488077,25,26,311686,11987.9231,2343.9377,78,15,52,Human
13870,6702135,41,41,84695,2065.7317,3836.7845,80,34,50,Human
