Actor,A_Acc,Login_day_count,Playtime,playtime_per_day,avg_money,Social_diversity,Max_level,collect_max_count,exp_get_count_per_day,item_get_count_per_day,money_get_count_per_day,abyss_get_count_per_day,p_deg,f_deg,t_deg,m_deg,Avg_PartyTime,GuildAct_count,Type,Group
16035,2577732,26,207985,7999.4231,3405.5652,0,37,18,213.1538,175.6923,0.807692308,0,0,0,0,0,0,1,Bot,2
16161,6541355,6,435439,72573.1667,6170.564,0,41,2693,2198.1667,2486.5,206,0,0,0,3,2,0,0,Bot,2
16226,6553349,47,677488,14728,71677.5007,0.782,52,1184,271.5217,238.8478,44.34782609,46,43,4,5,6,6316.8163,0,Bot,2
16386,6715627,7,516756,73822.2857,8323.4185,0,50,4931,3829.7143,3409.5714,103.4285714,0.1429,0,0,2,0,0,0,Bot,2
16727,6301425,81,6677512,83468.9,54688.7667,1.0986,55,0,3027.5625,2035.95,2185.025,210.1125,0,10,8,1,0,1,Bot,2
16822,6706804,88,6717685,78112.6163,28580.1588,0,55,0,2937.4535,2313.1977,349.7209302,415.7326,0,6,0,3,0,0,Bot,2
17070,3995097,73,1368249,18489.8514,102992.7255,1.1543,55,398,267.0405,275.1081,162.5405405,73.2703,162,6,17,32,4476.3686,1,Bot,2
17191,2907636,4,273367,68341.75,5366.2485,0,42,2943,341.5,1771.75,5,0,0,0,1,0,0,0,Bot,2
17580,6231841,10,618207,61820.7,9092.5363,0.4506,50,5607,5207,4630.6,184.5,2.1,0,0,2,0,0,1,Bot,2
17899,3948950,10,65130,6513,357.2165,1.4389,38,27,82.9,31.8,50.1,0.1,16,6,1,2,6385,1,Bot,2
19615,5055258,12,724898,60408.1667,7469.7412,0.3488,50,3956,511,2214.1667,3.333333333,0,1,0,1,0,2351,0,Bot,2
20416,6385646,7,479932,68561.7143,20906.9409,0.6837,40,3602,792.5714,2133.2857,4.285714286,0,0,4,2,2,0,0,Bot,2
20476,6657758,8,533137,66642.125,6775.3456,0,41,5205,752,3849.75,1.25,0,0,0,0,0,0,0,Bot,2
21315,6430518,6,490307,70043.8571,453.047,0,50,2628,402.1429,1783.7143,1.714285714,0.1429,0,0,0,0,0,0,Bot,2
21478,6651993,8,606129,67347.6667,8633.3634,0.2449,40,0,2773.7778,2527.3333,10.88888889,1.3333,0,0,5,0,0,1,Bot,2
21726,6394784,80,6294177,85056.4459,9962.3297,0.0716,55,0,4227.7568,2809.8243,780.9864865,828.5811,3,1,0,7,250127.5,0,Bot,2
21933,6732804,88,1877911,21339.8977,409320.0061,1.1385,55,5,477.7273,169.3409,253.4431818,287.0341,79,15,20,15,5010.8644,0,Bot,2
22006,6698373,10,636723,63672.3,5945.8866,0,42,3520,730.7,2544.3,6.3,0,0,0,2,2,0,0,Bot,2
22131,6578172,9,611797,67977.4444,4045.7874,0,46,6559,284.4444,4520,0.555555556,1.1111,0,0,3,2,0,0,Bot,2
23034,6470527,81,6274443,77462.2593,765.9632,0,50,10551,125.3333,5630.2099,0.259259259,0,0,0,2,5,0,0,Bot,2
23363,6677399,55,18171,330.3818,28984.737,0.673,45,0,0,1.2727,1.036363636,0,0,0,3,3,0,0,Bot,2
23763,6294968,47,214585,4565.6383,3194.178,1.2226,51,87,59.4681,37.3404,31.70212766,27.1702,38,6,9,10,3584.3393,0,Bot,2
24446,6475631,12,809001,67416.75,6644.4249,0.6365,50,3535,85.4167,2316.25,9.333333333,62.9167,12,0,3,0,3344.1538,0,Bot,2
24560,6489785,19,167632,8822.7368,3889.8466,0.5092,51,2,135.8421,71.5789,68.05263158,91.1053,39,4,13,8,8759,0,Bot,2
24585,6749102,55,1842032,34111.7037,811863.7022,1.1559,55,491,488.1481,387.463,191.6481482,299.4444,63,18,42,15,6400.1244,2,Bot,1
24780,6540837,34,133780,3934.7059,16894.8513,0.6994,50,480,79.1765,201.3529,2,2.8529,5,0,2,3,8072.25,0,Bot,2
25405,4046266,87,3793324,44108.4186,688420.0574,1.1869,55,950,608.2209,296.5349,235.6976744,406.8256,238,84,72,43,4807.2425,2,Bot,2
25582,6757589,64,618958,9824.7302,4201.2791,1.3099,54,137,227.6508,109.2222,103.2222222,143.7937,98,12,25,24,6344.8304,0,Bot,2
25828,6690473,13,872588,67122.1538,4209.3543,0,51,6557,0.0769,4456.2308,0.692307692,0,0,0,0,1,0,1,Bot,2
26265,3961459,83,5840492,73006.15,43466.9913,0,55,0,2339.1625,2658.625,99.075,102,0,5,0,0,0,0,Bot,2
26996,5801382,9,79372,8819.1111,70470.5261,0.8487,51,0,105.2222,47.1111,51.55555556,48.2222,3,0,5,1,9444.8333,0,Bot,2
27653,6762046,63,976271,15496.3651,96068.8595,1.2633,55,63,214.6984,157.1111,94.88888889,75.8254,100,2,14,14,7906.4063,1,Bot,2
28213,6383626,5,339178,67835.6,4579.0033,0,40,4568,1130.2,2538.6,282.6,0.4,0,0,2,0,0,0,Bot,2
28238,6819602,85,3069314,36109.5765,85810.889,0.9624,55,632,417.4824,2384.3059,182.3294118,229.7294,144,49,32,14,9602.3786,1,Bot,2
28773,6156324,8,432875,54109.375,10578.031,0.6365,46,4399,4004.25,3604.375,634.5,0.25,0,1,2,0,0,0,Bot,2
29441,6724730,7,321780,53630,1768.1501,0.6931,43,4444,1407.6667,2218,4.333333333,0,1,0,1,1,31,0,Bot,2
29761,5816660,7,337052,48150.2857,3812.8644,1.0986,50,0,1433.1429,1567.4286,22.57142857,0,1,0,1,4,3330,1,Bot,2
30063,6593274,7,418713,59816.1429,4044.0391,0,40,1972,1293.4286,1227.2857,5.428571429,0.1429,0,0,1,1,0,0,Bot,2
30814,6447884,86,6757678,82410.7073,818.212,0,50,10750,0,9257.3171,0.06097561,0,0,0,0,5,0,0,Bot,0
30951,6725233,49,552489,11275.2857,20229.786,0.8095,51,0,178.0408,61.9796,138.2857143,119.1837,167,40,25,17,4731.7155,2,Bot,2
31107,6747417,85,6461403,77848.2289,3086.8228,0.3768,55,0,2407.9157,3892,1.385542169,0,0,0,6,4,0,0,Bot,2
31171,6875948,12,158259,13188.25,48671.1543,0.167,50,0,9.1667,0,0.083333333,0,6,2,2,1,1205.9643,0,Bot,2
31636,6652943,25,1831560,76315,18396.3359,0.9557,50,4926,965.9583,2669.5,789.4166667,0,0,0,4,1,0,2,Bot,2
32548,6109473,44,3148581,82857.3947,38298.3808,0,55,0,3490.0789,2431.3421,1575.710526,0.4474,0,0,2,2,0,0,Bot,2
33347,6754624,12,852069,71005.75,17186.4802,0.6365,50,4830,4480.5833,3981.3333,115.5833333,1,0,2,1,0,0,1,Bot,2
33767,6707785,86,6736966,79258.4235,530.3047,0.0714,55,0,3051.1765,2518.2353,2541.411765,0,2,0,0,7,35550.6667,0,Bot,2
33990,6773759,84,6652295,79193.9881,11607.0572,0,55,0,2463.6548,3677.6429,37.5952381,43.9167,0,0,4,3,0,0,Bot,2
34100,6267597,7,559112,69889,11968.6707,1.1622,44,3927,399.875,2521.125,3.75,0.25,1,2,1,3,4,3,Bot,2
34704,6675802,88,3521570,40477.8161,78474.399,1.2968,55,1641,811.931,883.6207,395.5402299,373.069,140,75,54,30,4874.9485,1,Bot,2
35091,6885198,6,574113,82016.1429,599.0505,0,39,0,3280.5714,1938,3157.857143,0.7143,0,0,5,0,0,0,Bot,2
35145,2757370,83,6659208,79276.2857,1681.9687,0,52,9431,924.5952,4868.4048,0.369047619,0,0,2,2,2,0,0,Bot,2
35689,6782924,76,4611789,60681.4342,33176.5194,0.9967,55,613,1828.3158,1204.1842,1580.144737,207.9868,104,27,30,22,8023.3708,1,Bot,2
35704,5847298,47,1399723,29160.8958,22104.5839,0.7608,52,18,611.4167,715.375,330.8125,180.9583,92,4,5,4,3496.0625,3,Bot,2
36992,6429005,9,650302,65030.2,6593.2902,1.0397,50,0,2022.9,835.8,1757.7,0,0,1,3,2,0,1,Bot,2
37436,6668201,73,32086,439.5342,413129.0916,0.746,10,0,0,1.0274,0.684931507,0,3,0,9,6,179.6667,0,Bot,2
37529,6748818,5,328836,65767.2,1361.2476,0,36,4173,380.2,2954.4,1,0,0,0,1,2,0,0,Bot,2
37573,6639529,82,525762,6411.7317,139590.2514,0.8114,53,33,110.1585,54.8659,64.75609756,73.7683,60,4,7,10,5495.3626,0,Bot,2
38181,6657092,83,5738755,73573.7821,49654.9242,0,55,0,2500.6538,1987.5641,1292.179487,60.4231,0,2,0,2,0,0,Bot,2
38329,6668201,88,1601524,18199.1364,410936.8891,1.1054,55,1145,401.8864,379.6364,255.1477273,113.8182,103,8,32,17,4518.5589,1,Bot,2
38955,6663119,9,402237,44693,454.5818,0.4506,31,9504,310.7778,4768.1111,1,0,0,0,4,1,0,1,Bot,2
39294,6902378,12,682276,56856.3333,128.6461,0.6775,44,5429,259.5,3310.9167,0.833333333,0,0,0,3,3,0,0,Bot,2
39893,6905914,77,965929,12709.5921,44487.6885,0.3046,33,0,0.5921,2149.1842,1.302631579,0,2,0,1,5,2072.5,0,Bot,2
39954,6907238,75,1803096,24366.1622,19817.2903,1.2795,55,1346,617.8919,615.5135,117.1081081,84.3243,63,22,28,21,8384.7222,5,Bot,2
40372,6470637,14,32130,2295,1500.0346,0,30,0,0,197.0714,1.428571429,0,0,0,0,0,0,0,Bot,2
40405,6750215,17,708496,41676.2353,7162.5384,1.4306,50,1647,1141,563.5882,775.4705882,47.5294,9,1,2,2,10690,1,Bot,2
40727,4067481,51,3876020,80750.4167,25642.5014,0.9421,51,0,2847.4583,1896.625,537.2916667,0,4,0,5,3,58564.8333,0,Bot,2
41022,6343984,8,622446,77805.75,9165.4881,0,43,4945,523.125,3488,4.125,1,1,0,3,2,644,0,Bot,2
41242,6691322,5,289654,57930.8,9418.368,0,40,3332,537,2656,10.6,3,0,0,0,0,0,1,Bot,2
41345,6723459,84,6735708,85262.1266,91584.6162,0.4826,55,3,2802.9873,2362.8861,663.7721519,0.8987,0,0,8,0,0,3,Bot,2
41488,6905223,13,967207,74400.5385,2818.9808,0,40,7405,1858.3846,2650.8462,464.3076923,0.6923,0,0,1,2,0,0,Bot,2
41493,6692548,17,1005050,62815.625,6476.6664,0.8033,47,0,2399.3125,2146.625,17.0625,3.5,4,0,0,1,1867.6667,1,Bot,2
43990,4052031,23,346615,13331.3462,26791.5911,0.7718,53,126,165.8462,211.1154,37.38461539,27.8846,18,4,5,3,4355.05,0,Bot,2
44329,6817970,78,39707,509.0641,23644.4906,0.5623,50,0,0,0.4872,0.846153846,0,0,0,1,4,0,0,Bot,2
44351,2217406,13,407664,31358.7692,524.9799,1.3929,34,0,868.7692,806.1538,131.4615385,0.1538,6,8,6,2,2565.5,2,Bot,2
44476,6729070,84,6571220,82140.25,2848.6095,0,55,0,2757.3375,2129.325,3.4875,0,0,0,0,7,0,0,Bot,2
44575,6980825,6,13312,2218.6667,52721.7428,0.673,11,0,0,8.5,0,0,0,0,1,1,0,0,Bot,2
44618,6483263,13,68218,5684.8333,19830.9683,0.6019,51,0,163.4167,373.1667,1.333333333,1,3,2,1,0,5728,0,Bot,2
45624,6225916,13,990601,76200.0769,16642.3487,0,50,5826,5373,4699.2308,303.6923077,2.0769,0,0,0,2,0,1,Bot,2
45891,6417677,80,2306446,28474.642,33969.5868,1.4966,55,563,790.1975,358.0247,498.6419753,696.4074,46,13,29,7,12778.3267,3,Bot,2
46332,6671451,88,5765589,65518.0568,734449.3203,1.206,51,651,644.5795,8951.7045,16.15909091,0.5341,3,0,17,13,3649.75,0,Bot,1
47170,4385895,14,1019311,72807.9286,4726.674,0,49,6193,1826.2143,2677.8571,296.7857143,0,0,1,2,1,0,0,Bot,2
47874,6905914,87,1824531,21215.4767,696130.335,0.8065,55,1166,382.8372,412.8488,196.9767442,262.9302,103,6,27,10,3836.2899,2,Bot,1
48782,6694407,8,443214,55401.75,14289.0931,0,48,3982,2648,2969,301.875,0.625,0,0,1,0,0,0,Bot,2
49128,6706887,13,75780,5829.2308,2436.7583,0.2427,50,0,43.6154,32.9231,17,21.4615,3,0,4,4,2170.5,0,Bot,2
49479,6296026,15,107195,7656.7857,19834.496,0.9318,43,23,80.5714,34.9286,47.57142857,35.6429,24,0,2,5,4780.9048,1,Bot,2
50012,6810509,7,185755,26536.4286,76906.0923,0.5486,43,1025,459.2857,553.5714,223.8571429,152.2857,31,2,2,2,4674,0,Bot,2
50419,6962559,41,132147,3223.0976,107324.6761,1.0887,50,65,39.122,100.5122,32.70731707,22.0732,28,1,11,1,4120.5,0,Bot,2
52161,6848310,13,807994,62153.3846,11781.4406,1.0114,50,4074,3394.7692,2905.4615,184.4615385,0.7692,10,0,3,0,2911.8,1,Bot,2
52354,6890271,59,3017223,51139.3729,9194.6581,0.9812,40,4715,666.678,2197.7797,6.830508475,0.1864,3,2,5,3,21294.5161,1,Bot,2
53487,6612813,17,21484,1263.7647,3995.8765,0,50,0,126.8235,128.0588,0.941176471,0,1,0,1,3,158,0,Bot,2
53646,6317582,8,492223,70317.5714,5356.7217,0,31,8829,699,6798.4286,6.142857143,0,0,0,2,0,0,0,Bot,2
54517,6709542,6,492586,70369.4286,4791.1584,0,50,5008,4011.4286,3737.4286,4.142857143,1.2857,0,1,1,0,0,0,Bot,2
55015,6553349,22,156014,7091.5455,22263.2147,1.1187,38,0,44.2727,686.0455,13.59090909,2.1818,11,2,1,6,2088.8,2,Bot,2
55356,6412726,17,44790,2634.7059,1296.6073,1.2649,51,0,58.4706,28.7059,23,41.5294,6,2,17,1,4095.1429,1,Bot,2
55611,6288529,13,935283,66805.9286,7099.5849,0.4101,50,4712,3198.2857,2962.7143,2.714285714,0.4286,0,1,2,0,0,0,Bot,2
56005,100853,87,7169966,82413.4023,85585.6687,0,55,3200,4198.977,3775.2644,2738.609195,569.7011,0,0,1,2,0,0,Bot,2
56213,6100114,11,583295,53026.8182,4611.3494,0,50,3357,590.2727,1797,5,0,0,0,2,0,0,0,Bot,2
56384,6335975,10,504677,50467.7,7956.721,0,51,5218,3506.8,2947.3,6,0.3,0,0,1,1,0,0,Bot,2
57459,6641088,58,3025903,52170.7414,10205.5599,1.0021,41,4859,359.8793,2676.9483,9.724137931,1.8103,4,2,5,3,21286.629,0,Bot,2
57725,6334148,11,829233,69102.75,8393.7817,0.6792,50,7510,2606.0833,3681.8333,137.75,0,0,5,1,3,0,0,Bot,2
57812,7183202,60,478635,7977.25,29445.8456,1.0331,54,0,155.2833,67.0667,100,91.1333,121,5,6,6,6568.234,2,Bot,2
58850,6384241,2,66548,22182.6667,664.0809,0.9557,48,3233,1045.6667,1176.6667,17.33333333,0,0,0,1,1,0,2,Bot,2
59232,6931772,13,885661,68127.7692,995.9208,0.7879,41,3354,17.3846,1976.3077,1.153846154,0,0,0,4,3,0,1,Bot,2
59508,7237093,13,911561,70120.0769,9203.7209,0,39,2727,2142.1538,4091.9231,44.23076923,0.8462,2,0,3,2,711.5,0,Bot,2
59618,6588999,51,664491,13029.2353,4002.5628,0.9448,42,1045,232.4314,343.1176,36.39215686,1.549,4,2,7,5,3868.3333,0,Bot,2
59790,7240087,33,854148,23726.3333,14814.3847,1.1323,54,8,559.4722,817.8889,42.94444444,33.2778,24,4,19,10,6416.8889,0,Bot,2
59840,6869797,21,959997,50526.1579,3728.4878,0,49,0,1062.4737,1086.3684,29.89473684,0,1,0,1,8,450,0,Bot,2
61037,5826826,87,5961352,70968.4762,16611.4459,1.3161,53,3,3548.4643,2730.7143,34.17857143,10.7857,27,12,12,10,18549.8049,2,Bot,2
61589,7192406,8,471875,67410.7143,6375.9944,0,50,0,2690,2231.2857,5.428571429,0,1,0,2,0,67,0,Bot,2
61743,6863536,82,5571073,69638.4125,54424.2946,0,55,0,2155.7375,2469.875,97.225,57.9875,0,3,0,0,0,0,Bot,2
61762,7293695,86,6760335,83460.9259,141173.539,0.3046,55,0,2655.7654,2233.5185,601.4444444,0.2593,0,0,7,2,0,1,Bot,2
62333,6627772,74,1884093,25121.24,19919.2107,1.3657,55,689,384.8933,497.56,205.9066667,193.52,226,28,41,26,6911.2455,1,Bot,2
62358,7299555,5,67993,13598.6,130.0223,0,24,0,340.2,5.4,0.8,0,0,0,0,1,0,0,Bot,2
62515,7094838,9,121074,12107.4,25517.6139,0.5004,47,631,211.8,269.2,35.2,0.4,4,2,1,0,6070.8,0,Bot,2
63837,6333899,80,1372601,16537.3614,8031.7035,1.4492,53,448,157.0843,272.8072,37.59036145,9.5904,5,2,25,14,1613.3333,2,Bot,2
63855,6963333,76,5187715,76289.9265,28326.7179,0.3251,55,0,2225.4412,2674.0882,285.4558824,465.6912,1,0,7,0,73673.875,0,Bot,2
64263,6586146,14,20889,1492.0714,869.1286,1.2407,50,0,43.2857,13.7857,35,53.3571,5,0,4,2,4969.4,1,Bot,2
65365,6298320,87,6409313,80116.4125,37288.8546,0,55,0,2019.2,2214.975,213.5375,259.9125,0,0,0,3,0,0,Bot,2
65461,6943397,88,7042577,81890.4302,10324.4293,0,53,6721,635.9186,4302.1279,1.395348837,0,0,0,1,4,0,0,Bot,2
65529,6890198,5,72076,14415.2,1638.7998,0.6931,43,358,77.8,98,4.6,0.8,0,2,0,0,0,1,Bot,2
66253,7199415,10,593133,59313.3,5291.8672,0,50,4039,3387,3167.2,95,1.8,0,0,1,0,0,0,Bot,2
66382,6354572,41,1147339,30193.1316,14847.3685,1.2729,43,3,523.1053,287.3947,425.6052632,496.7105,225,40,36,9,4223.4475,4,Bot,2
67242,3110495,30,891155,29705.1667,14507.5476,1.3637,51,0,487.2667,239.0333,213.5666667,198.3333,345,16,27,5,7777.4409,5,Bot,2
67639,6267464,34,336625,9617.8571,10800.6852,1.5178,52,76,135.8286,57.6857,63.08571429,80.6571,40,4,7,8,6873.925,2,Bot,2
68090,4385680,7,464124,66303.4286,4788.9596,0,46,2409,1293.8571,2510.5714,2.142857143,0,0,0,2,2,0,0,Bot,2
68128,6980825,47,727387,14844.6327,62837.3367,1.0519,52,0,290.5918,138.3469,151.0816327,172.449,97,8,13,1,6891.5366,0,Bot,2
68275,6470637,39,1225218,31415.8462,25538.7312,0.6118,54,5184,449.359,826.3846,89.82051282,103.9487,40,2,3,2,7126.8298,2,Bot,2
68398,6411730,3,153532,51177.3333,20939.7205,0,41,3164,176,1059,3.666666667,0,0,0,0,0,0,0,Bot,2
69429,7375013,54,3529002,64163.6727,65920.7397,1.1266,55,3598,1232.3818,1343,813.1454546,530.3455,84,4,16,4,5063.3191,1,Bot,2
71742,6273998,5,61297,12259.4,2949.4178,0.5766,50,0,226.8,61.2,113,168.4,9,2,3,3,6735.9167,0,Bot,2
71855,7392608,84,6431600,79402.4691,44854.9241,0,55,0,3014.1728,2515.1111,350.7037037,0.2099,0,0,0,3,0,0,Bot,2
72146,7068020,9,24245,2693.8889,938.0549,0,33,0,0,122.4444,0,0,0,0,0,2,0,0,Bot,2
72193,7354994,68,1365009,20073.6618,21662.9963,1.3192,55,548,367.3382,134.7647,165.0441177,284.2794,88,10,19,30,5491.4293,0,Bot,2
72998,7230479,52,405978,7659.9623,2963.3372,1.5045,53,86,162.8491,110.4906,91.28301887,101.5472,93,20,18,15,6160.4471,5,Bot,2
73041,7065885,24,110819,4617.4583,2673.6837,1.0986,36,21,5.9583,60.375,2.125,0.1667,0,0,2,5,0,0,Bot,2
73917,6639529,85,608278,7156.2118,120186.5368,0.1327,43,0,212.6235,619.9882,2.176470588,0,1,0,0,12,193,0,Bot,2
74297,6184539,9,508493,56499.2222,3742.3044,0,45,3400,498.7778,1629.3333,6.888888889,0,0,0,1,0,0,0,Bot,2
75050,4050412,19,265869,13993.1053,87292.8461,0.8638,50,28,394.1053,129.3684,208.8421053,216.0526,46,4,9,2,8754.5745,0,Bot,2
75844,7214741,76,39989,526.1711,275024.357,0.4884,30,0,0,2.3947,2.27631579,0,0,0,5,4,0,0,Bot,2
75880,7214741,88,2338699,26576.125,257836.7375,1.1402,55,591,477.2159,436.9659,287.6022727,295.9432,129,14,32,14,9452.2098,2,Bot,2
76877,6306930,6,263142,43857,2655.9457,0.6871,41,0,858.5,678,123.5,0,2,0,2,7,2292,0,Bot,2
77534,7444814,61,580153,9510.7049,3182.9301,1.2561,52,80,215.2131,123.6885,118.8360656,156.0984,59,14,21,8,7036.6518,0,Bot,2
79593,7465228,6,377259,62876.5,6410.5951,0.9003,50,4419,1.5,2657,7.833333333,0,0,2,3,0,0,1,Bot,2
79667,6852131,76,5496416,73285.5467,29172.6335,0.8979,55,0,2725.0667,1869.8533,1.773333333,0,0,1,8,3,0,0,Bot,2
81854,7490655,10,405023,36820.2727,90353.592,0,51,0,363,372.0909,8.636363636,0,0,0,0,1,0,0,Bot,2
81888,6350960,77,1739582,21476.321,7134.9889,0.8085,55,226,358.5309,173.2963,207.0123457,218.2222,192,23,22,2,6973.2863,2,Bot,2
82031,6363210,83,1296725,16414.2405,221724.1658,1.1024,55,102,230.1899,101.1772,114.2151899,114.9873,90,13,19,12,8347.708,1,Bot,2
82420,6321540,8,521222,74460.2857,1145.5659,0,42,3946,1467.5714,3682.5714,4.142857143,0,0,0,0,0,0,1,Bot,2
82695,6621751,79,5685665,76833.3108,47221.8159,0,55,0,2850.6486,2015.1757,288.945946,475.473,1,1,2,4,73673.875,0,Bot,2
83370,7065885,58,702027,11323.0161,8629.7608,1.4936,53,283,182.1935,121.4516,96.82258065,105.7097,61,16,15,17,5658.2165,2,Bot,2
83723,6556406,69,5439423,83683.4308,2086.8866,0,55,0,2254.4769,1698.7846,1.138461539,0,0,1,2,4,0,0,Bot,2
84355,7284194,27,736088,27262.5185,13083.6901,1.3197,50,341,477.8889,638.8889,54.85185185,12,26,4,9,3,6428.6296,1,Bot,2
85374,6361881,18,54491,2867.9474,2358.9178,1.0397,51,0,57.4737,56.0526,15.63157895,27.6842,7,0,7,4,4307.8,0,Bot,2
88244,6635188,6,16181,2696.8333,6583.5658,0,35,0,88.3333,136.8333,0.666666667,0,1,0,0,0,4941,0,Bot,2
89025,4046266,38,13826,363.8421,581011.8307,1.0274,30,0,0.1053,5.0263,0.315789474,0,22,0,5,9,2202.4412,1,Bot,2
90092,7375013,11,140746,11728.8333,582.7269,0.3046,25,0,412.5833,487.0833,3.666666667,0.25,1,0,0,5,15355,0,Bot,2
90110,6989179,67,4873603,78606.5,51736.5368,0,55,0,2223.6935,1892.371,610.5806452,147.129,0,0,4,2,0,0,Bot,2
90319,6386965,35,515432,15619.1515,13732.2671,0.9879,52,6,320.9697,303.2424,184.9393939,206.303,62,17,4,6,5022.0444,6,Bot,2
90990,6588999,33,14711,445.7879,3902.282,0,10,0,0.0303,0.1212,0.636363636,0,0,0,0,0,0,0,Bot,2
92063,6962559,38,134844,3548.5263,103377.3501,1.2184,50,0,53.6316,125.2105,27.31578947,16.0526,20,1,23,2,4694.5217,0,Bot,2
93151,6907238,46,261322,5680.913,1069.4394,0.7198,43,0,101.7609,56.5,9.108695652,0.6304,22,2,10,7,2685.2817,2,Bot,2
93490,6519844,23,28830,1253.4783,3776.577,1.2945,51,0,31.6522,7.3478,15.69565217,25.1304,3,0,1,1,8211.25,1,Bot,2
94029,7255687,24,406379,16255.16,7805.965,0.5116,50,0,244.4,80.92,190.28,129.2,89,6,8,5,5112.7745,1,Bot,2
94054,6962559,41,263324,6422.5366,92392.534,1.0068,51,72,113.2683,190.4146,73.90243902,51.4634,20,0,18,1,3276.4921,0,Bot,2
94374,6819602,86,372624,4332.8372,60460.8729,0.7567,32,0,12.2209,575,0.686046512,0.9186,0,0,11,4,0,0,Bot,2
94656,6534729,11,109636,9966.9091,5086.5296,0.4506,41,0,566.5455,519.7273,10.09090909,0.2727,0,0,0,2,0,1,Bot,2
95629,3995097,42,302710,7207.381,62526.5179,1.2028,51,2598,34.0714,281.9762,4.404761905,17.7619,13,0,3,13,2432.2143,1,Bot,2
