Actor,A_Acc,Social_diversity,Type
3710,6702154,1.2379,Human
3803,2999620,1.0747,Human
3825,6376114,0,Human
3826,6534729,0,Bot
3892,6711586,0.3251,Human
3999,6702832,0.7897,Human
4098,6188950,1.0183,Human
4128,5193511,1.4405,Human
4200,6652809,1.5147,Human
4203,5797473,1.0101,Human
4207,6576284,1.0776,Human
4218,2813438,1.259,Human
4357,6696486,1.3184,Human
4359,6405899,1.3614,Human
4389,6704301,1.0392,Human
4396,6683982,1.2031,Human
4432,6611137,0.3099,Human
4438,6610775,0.7565,Human
4476,6615220,1.0824,Human
4555,6242016,0,Human
4565,4757810,0,Human
4630,4115991,0,Human
4641,6479341,1.4436,Human
4670,6573951,0.6809,Human
4732,4907861,1.2306,Human
4742,6481287,0,Bot
4758,6595742,0.9197,Human
4819,6697216,0.6793,Human
4837,6636471,0.7301,Human
4900,6527266,0.8436,Human
4967,6188353,1.1055,Human
5022,6350853,1.0647,Human
5046,6235416,0.9743,Human
5244,4115991,0,Human
5297,5893738,1.3553,Human
5396,6213975,1.2051,Human
5528,4142072,0.4438,Human
5545,6662829,0.6931,Human
5554,6465262,1.0456,Human
5556,6698785,0.8676,Human
5590,2648551,1.3575,Human
5699,6549517,1.2412,Human
5725,6711605,1.0221,Human
5802,6712687,1.0508,Human
5818,6555924,1.0549,Bot
5851,890876,1.2165,Human
5860,3787641,1.1602,Human
5869,6465811,0.3768,Human
5890,6420900,0.8983,Human
5925,3092004,1.328,Human
6033,6339703,1.261,Human
6040,6575441,1.0995,Human
6088,4288512,1.1125,Human
6173,6198513,0.9429,Bot
6186,3094957,0.8743,Human
6187,6106357,0,Bot
6242,6343796,0.9464,Human
6273,6711064,1.3518,Human
6280,6464358,0.3046,Human
6297,5640690,1.2598,Human
6327,6654852,1.3373,Human
6437,6712467,0.771,Human
6457,6603822,0.9857,Human
6459,6347992,0.7668,Human
6485,6602091,1.3294,Human
6491,6576707,0.6931,Human
6508,6385537,0.7683,Human
6583,6125274,1.2282,Human
6636,6521853,0.8487,Bot
6662,6383804,1.3667,Human
6671,6650738,0.1217,Human
6677,6707657,1.1622,Human
6689,6462885,1.0273,Human
6704,6352654,0.949,Human
6758,6422656,0.9369,Human
6766,260234,0,Bot
6823,5087240,1.2385,Human
6853,2592082,0.8838,Human
6921,6681379,0.8724,Human
6931,6123531,0.8406,Human
6966,6596806,0.7255,Human
7013,5223307,0.2868,Human
7032,6393626,1.2589,Human
7040,6218550,0.7429,Human
7123,6649918,0.698,Human
7139,6663292,1.1118,Human
7174,6370142,1.0775,Human
7185,5187375,0,Human
7193,6649807,0,Human
7293,6169221,0.5623,Human
7326,5403097,1.0889,Human
7335,6666797,0.6931,Human
7379,6358903,0.6931,Human
7469,4166908,0,Bot
7484,6297419,1.1168,Human
7496,6501791,0.8952,Human
7505,6179212,0.788,Human
7561,6708461,1.1315,Human
7575,6558970,0.9369,Human
7788,6342739,1.1072,Human
7795,6384810,0.1714,Human
7815,6658217,0.9369,Human
7819,6708189,0.8694,Human
7822,6112445,0.9492,Human
7830,6312808,0,Human
7838,6582196,1.0397,Human
7859,6711605,0.4851,Human
7862,6199175,0,Human
7876,6658827,0.5895,Human
7914,6377333,1.4431,Human
7915,3390166,0.4087,Human
7949,6195275,0.6365,Human
8022,6180971,1.0481,Human
8045,6688933,1.2796,Human
8072,6235096,0.5983,Human
8080,6669580,0.9256,Human
8085,6320417,0.7374,Bot
8107,2448092,0.3669,Human
8117,6710920,0.673,Bot
8138,6662727,1.5069,Human
8153,6699529,1.4637,Human
8188,6700834,1.5012,Human
8196,6412519,1.3605,Human
8219,6712137,0.1914,Human
8225,6297059,1.0906,Human
8250,6635302,0.1868,Bot
8282,6288023,1.1087,Human
8287,6557182,1.1898,Human
8325,6305936,1.4716,Human
8362,6351401,0.9897,Human
8424,6699186,0.9931,Human
8448,4232729,1.1953,Human
8510,6303070,0.7599,Human
8532,6603009,0.6685,Human
8569,6389759,1.0759,Human
8621,6167680,1.1664,Human
8640,6650941,1.0347,Human
8663,6324745,0.536,Human
8713,6209007,0,Human
8747,6701711,0.2103,Human
8753,6521534,0.9692,Human
8792,6636724,0.8999,Human
8837,6573588,0.3309,Human
8844,6348193,1.3753,Human
8857,6465500,0.3768,Bot
8892,6713823,0,Human
8919,6234593,1.1853,Human
8980,6712891,1.5526,Human
8997,6362209,1.1328,Human
9002,6286740,1.3565,Human
9014,6666840,0,Human
9095,6575640,1.0855,Human
9135,6474953,1.1914,Human
9146,6575974,1.0109,Human
9158,6189887,0,Human
9163,4582771,1.0195,Human
9167,6576470,1.2453,Human
9170,6420307,0.6365,Human
9181,6351045,0.8104,Human
9229,4543011,1.2972,Human
9273,2704867,0.9818,Human
9291,6674214,0,Human
9346,6321097,0.8901,Human
9384,2548738,0.6931,Human
9419,2686302,0.9815,Human
9439,6533768,1.5826,Human
9488,4241952,0.2338,Human
9537,6587353,0.7068,Human
9635,6419350,0.8192,Human
9636,6697223,0.8584,Human
9651,6306906,0,Bot
9652,4024992,1.1236,Human
9675,6692196,1.2803,Human
9680,6402499,1.2077,Human
9693,6657497,0.985,Human
9698,6125274,0,Human
9716,6710653,0.6365,Human
9767,6388901,1.1972,Human
9851,6345641,0.9844,Human
9884,4822382,0,Human
9969,6576769,0.1584,Human
9972,6696061,1.0349,Human
9977,6708067,1.0549,Human
9992,6249017,0.6365,Human
10002,6129182,0.7475,Human
10033,6465713,0.9536,Human
10044,6351474,1.2535,Human
10062,6145829,0.5623,Human
10094,5376991,0.9923,Human
10101,6483576,0.5505,Human
10152,6334598,0.7629,Human
10175,6293831,1.0094,Human
10180,6230670,1.138,Human
10200,6707953,1.1322,Human
10201,6348791,1.1719,Human
10221,6599052,0.6029,Human
10222,4003785,0.9349,Human
10264,6636724,0,Human
10268,6599051,0.8115,Human
10313,6638368,0.9709,Human
10366,6700611,0.951,Human
10403,6337154,0,Human
10452,6552272,0.3862,Human
10463,6193390,1.0561,Human
10465,6336017,0.6365,Bot
10503,6150707,1.021,Human
10504,4224327,1.2699,Human
10674,4129739,1.473,Human
10720,4232729,0.8309,Human
10751,2144015,1.1688,Human
10764,6636724,1.0842,Human
10769,6611521,0.7663,Human
10882,6355165,0.74,Human
10883,6379671,1.367,Human
10906,6171374,0.7107,Human
10939,6596276,1.2798,Human
10956,6645347,0.9852,Human
10978,6329079,0.7773,Human
11000,6707953,0,Human
11004,6552185,0.8233,Human
11012,6676688,1.262,Human
11035,5079414,0,Human
11064,4877704,1.0436,Human
11079,6215262,0.4506,Human
11121,6598561,0.6813,Human
11254,6707953,0.9554,Human
11285,6579380,0.96,Human
11305,6659962,0.5004,Human
11311,6700611,1.277,Human
11436,6555354,1.0355,Human
11449,6506778,1.5397,Human
11455,2135831,1.4757,Human
11458,6718803,1.1505,Bot
11533,6688913,0.7413,Human
11544,6538509,0.5799,Human
11554,3127559,1.0075,Human
11585,2524533,0.656,Human
11588,6560906,0,Human
11639,6682648,0,Human
11648,6448302,0.8892,Human
11666,2135831,0,Human
11701,3509688,1.4488,Human
11723,6623949,1.1996,Human
11734,2123622,0.2449,Human
11754,6529294,0,Human
11767,6526863,0.6931,Bot
11806,6576272,0.2174,Human
11829,6307392,1.0671,Human
11852,6712660,0.86,Human
11862,6550055,0.531,Human
11865,6213237,1.2166,Human
11881,6597490,0.9476,Human
11904,6541688,1.0669,Human
11911,6400942,1.2315,Human
11957,6599411,0,Human
11963,6442251,1.0703,Human
11974,6128314,1.3102,Human
12015,6719542,1.2154,Human
12046,6197227,0.9743,Human
12047,6622755,1.3578,Human
12196,3958840,0.6616,Human
12198,6301663,1.4781,Human
12208,5885374,0.5643,Human
12232,6714256,0.6564,Human
12264,6715086,0.9916,Human
12293,6716312,1.0095,Human
12333,6563237,0.8647,Human
12341,6189930,0.9557,Human
12450,6705100,1.2848,Human
12458,6700359,0,Bot
12567,6707391,0.9773,Human
12569,6410926,0.8497,Human
12596,6710198,1.121,Human
12609,6521023,0.7442,Human
12633,4892668,0.2062,Human
12638,4058084,0,Human
12642,5249389,1.0953,Human
12687,6538876,1.2895,Human
12698,6365090,0.6871,Human
12727,6712667,0.6603,Human
12738,6721132,1.0566,Human
12824,6164564,1.542,Human
12863,6202223,1.0675,Human
12905,2825586,0.4503,Human
12906,6237426,1.1938,Human
12912,6706970,0,Human
12926,6721132,1.0938,Human
12980,6339703,1.1213,Human
13083,6599650,1.2188,Human
13119,6496800,1.0746,Human
13122,6545307,1.2275,Human
13150,6569168,0.6386,Human
13153,6272636,0.6659,Human
13172,6717204,1.139,Human
13176,5098402,0,Human
13187,6488256,1.0999,Human
13190,2421289,0.8815,Human
13200,6367502,1.5367,Human
13209,6334623,1.1734,Human
13239,6334769,0.9003,Human
13240,6293690,1.1724,Human
13244,6446459,0.8895,Human
13261,6483044,0.5623,Human
13312,6620439,0.4541,Human
13318,6535209,1.0853,Human
13334,6356577,1.182,Human
13346,6377405,1.0307,Human
13355,6299629,0.6984,Human
13418,6721218,1.0208,Human
13485,6488098,1.2219,Human
13488,5413044,1.3659,Human
13496,6596276,1.6637,Human
13530,6345212,1.374,Human
13537,6312078,1.063,Human
13565,6667558,0,Bot
13593,6711322,0.3654,Human
13601,6500860,1.2717,Human
13602,2823937,0.8253,Human
13603,6655767,0,Human
13631,6424822,0.7429,Human
13635,6392955,0.9313,Human
13649,6306198,0.9678,Human
13661,6269820,1.2359,Human
13671,6635382,1.4237,Human
13701,6317088,1.4268,Human
13730,6712667,0.4101,Human
13761,6521712,0.7513,Human
13801,6251320,1.2665,Human
13804,6591800,0,Human
13829,6635188,0.9813,Bot
13866,2460785,0.8702,Human
13869,6488077,0.979,Human
13870,6702135,0.8761,Human
13896,6164664,0.9611,Human
13937,6172739,0.619,Human
13945,6230903,0.3858,Human
13952,6715268,1.5157,Human
13961,6531962,0.6773,Human
13976,6321969,1.4162,Bot
13990,6528080,0.5932,Human
14022,6325785,0.9882,Human
14040,6520553,1.3224,Human
14049,6578979,1.0078,Human
14051,6721226,1.0271,Human
14081,6477719,0.6365,Human
14092,6648031,1.2082,Human
14148,6153566,0.8983,Human
14157,2149535,0,Human
14243,6721212,1.0464,Human
14244,6654491,0.8974,Human
14273,6410926,0.9562,Human
14286,2674596,0,Human
14346,6262552,1.1413,Human
14354,6301844,0.9412,Human
14369,6527269,0.6457,Human
14372,6521184,1.2945,Human
14373,2237246,1.3995,Human
14405,6714754,0.8563,Human
14406,6357823,1.1104,Human
14419,6621742,0.8059,Human
14437,6431576,1.0729,Human
14439,6415901,0.8223,Human
14494,6691223,0.5367,Human
14568,6293092,0,Human
14619,6383837,1.2606,Human
14641,6691887,1.0493,Human
14689,6658772,1.2042,Human
14725,6592929,1.3297,Human
14794,6256156,0.9517,Human
14796,6709952,1.0318,Human
14813,5314276,0.9993,Human
14843,6600618,0.312,Human
14961,6593185,0.8283,Human
15041,6121469,1.2301,Human
15046,6695808,1.1747,Human
15054,4471672,0,Bot
15060,5814839,1.2092,Human
15100,6696256,0.9922,Human
15181,4332195,0.2573,Human
15213,6372072,0,Human
15216,5720930,0.4826,Bot
15353,6679554,0,Human
15376,5082187,1.3693,Human
15378,3490091,1.5257,Human
15397,6721130,0.9483,Human
15423,6683905,0.2338,Human
15493,6320469,0.6886,Human
15516,6448302,0,Human
15520,6330065,1.1351,Human
15530,6432382,1.1632,Human
15535,6272776,1.0397,Bot
15539,6721593,0.3094,Human
15560,6283050,0.5004,Human
15576,6716988,1.2765,Human
15584,6106433,0.733,Human
15586,6302498,0.6829,Human
15614,6516930,1.0357,Human
15633,6681578,1.1905,Human
15707,6713581,0.3488,Human
15709,6449155,0.9658,Human
15761,6318038,1.0946,Human
15769,6675065,0.86,Human
15829,6173092,0,Human
15906,6436829,1.1533,Human
15926,6714323,1.0986,Human
15928,6187880,1.2491,Human
15931,6540980,0.8576,Human
15938,6214652,0.9071,Human
15940,6666505,0,Human
15967,4429337,1.1035,Human
15969,6218383,1.0284,Human
15983,6494106,0.6931,Human
15995,6148040,0.762,Human
16035,2577732,0,Bot
16044,6577725,1.0114,Human
16047,6712643,1.0822,Human
16050,6383530,0,Human
16077,6485515,0,Human
16081,6719948,1.3229,Human
16092,6651859,0.9743,Human
16119,2183728,1.2324,Human
16161,6541355,0,Bot
16169,6234611,0.9406,Human
16180,5075326,1.299,Human
16205,6658918,0,Human
16208,3994123,1.2964,Human
16214,6588738,0.918,Human
16217,4346535,1.2799,Human
16226,6553349,0.782,Bot
16311,6724025,0.8147,Human
16351,6726322,1.1683,Human
16386,6715627,0,Bot
16416,6670233,1.2563,Human
16472,6712397,1.2905,Human
16527,3536332,1.3209,Human
16579,6381878,1.0793,Human
16581,6631611,0.9911,Human
16589,6726427,1.2014,Human
16643,6508632,0,Human
16696,6372090,1.0275,Human
16697,6689481,1.009,Human
16723,6574794,1.1188,Human
16727,6301425,1.0986,Bot
16791,6258582,0,Human
16793,6360318,1.0397,Human
16810,6222717,0.9573,Human
16822,6706804,0,Bot
16876,6719617,0.837,Human
16879,6602001,0.9607,Human
16916,6111691,0,Human
16917,6221939,1.2113,Human
16947,3186785,0.51,Human
16974,6726707,1.0986,Human
17046,6497671,0.2573,Human
17065,2413825,1.2438,Human
17070,3995097,1.1543,Bot
17107,6325548,1.1306,Human
17118,6718298,0,Human
17138,6350445,1.4275,Human
17143,6490540,1.1756,Human
17174,6585653,1.2912,Human
17191,2907636,0,Bot
17208,6711889,0.9466,Human
17210,6326393,0.8881,Human
17214,5770920,0.6053,Human
17215,6521024,0.8905,Human
17222,3993879,1.1091,Human
17250,6264811,1.103,Human
17271,6721481,0.936,Human
17299,6266098,1.1139,Human
17304,6725568,1.2588,Human
17309,6604734,0.6365,Human
17321,6591838,1.1496,Human
17447,4482853,1.2712,Human
17486,3828622,1.1272,Human
17488,6584678,0,Human
17537,6718262,1.0284,Human
17580,6231841,0.4506,Bot
17597,6723605,0.9264,Human
17607,6710965,1.0868,Human
17613,6723838,0.814,Human
17616,6357810,0,Human
17654,4531144,0.8758,Human
17662,6595760,0.8053,Human
17679,6425855,1.0397,Human
17714,6308811,1.0512,Human
17793,6573597,0.1452,Human
17795,6699190,1.2322,Human
17805,6638015,1.2555,Human
17810,6598885,1.1319,Human
17831,6424274,1.1095,Human
17844,6625955,0.6365,Human
17895,3847820,0.5004,Human
17899,3948950,1.4389,Bot
17970,6666761,1.0661,Human
17975,6302541,0.1647,Human
18024,6638579,0.8587,Human
18033,6306433,1.2522,Human
18048,6719699,1.2075,Human
18126,6439522,0.687,Human
18182,6405987,1.0549,Human
18241,6714508,0.3785,Human
18242,6632555,0.8655,Human
18260,6396828,1.1286,Human
18306,5797735,1.2888,Human
18307,6718298,0.1679,Human
18384,6609896,1.2968,Human
18411,6318363,0.8294,Human
18531,6382766,1.3385,Human
18539,6605970,0.8134,Human
18564,6326808,0,Human
18577,6563117,1.0265,Human
18591,6725084,0.7644,Human
18651,6556398,1.1438,Human
18690,6724566,0.4506,Human
18711,6667550,0.9324,Human
18724,6688768,0.6365,Human
18755,6728480,1.1298,Human
18873,4319952,1.3078,Human
18932,6725551,0.9203,Human
18975,2054782,1.1275,Human
19010,6499998,1.4661,Human
19034,6662558,0.984,Human
19089,6664760,0.7101,Human
19122,6209497,0.7363,Human
19210,6724449,1.1001,Human
19217,6269840,1.3159,Human
19231,6710658,1.2394,Human
19236,4274703,1.5123,Human
19333,6374559,1.1224,Human
19362,6725876,0,Human
19381,6661151,0.9799,Human
19397,6493480,1.0723,Human
19418,6701128,0,Human
19424,6126968,0.6554,Human
19500,6724986,1.1993,Human
19530,6598997,1.0115,Human
19615,5055258,0.3488,Bot
19629,6145845,1.4401,Human
19651,6641394,0.4616,Human
19682,6730336,0.593,Human
19744,6705537,0,Human
19756,6451426,0.9594,Human
19762,6552941,1.2395,Human
19772,6267114,0.6931,Human
19774,6303707,1.0114,Human
19812,6580072,1.2035,Human
19847,6592670,1.1333,Human
19945,6519056,1.6118,Human
19955,6567359,1.3045,Human
19973,6650406,1.2705,Human
19974,3280805,1.3834,Human
20024,6719427,1.1543,Human
20030,6559412,1.1988,Human
20060,6493741,0.6837,Human
20071,6710456,0.8509,Human
20082,6275550,0.4506,Human
20087,6496869,0.673,Human
20123,6385792,1.0859,Human
20137,6728480,0,Human
20152,6730336,0,Human
20198,6668992,0.9908,Human
20239,6275891,1.2681,Human
20284,6601446,0.9576,Human
20316,6401360,0.9887,Human
20367,6271918,0.7121,Human
20373,6146494,0.9974,Human
20411,6362306,1.3125,Human
20416,6385646,0.6837,Bot
20476,6657758,0,Bot
20483,6209238,0.959,Human
20494,6726398,1.277,Human
20510,6666058,0.8051,Human
20519,6607123,0.9399,Human
20520,3063577,1.2599,Human
20527,6134100,1.0259,Human
20535,4352966,0.9988,Human
20566,6291326,0.1464,Human
20571,6491931,0.8869,Human
20577,4448460,1.5214,Human
20578,6589025,0.4382,Human
20584,3999942,1.054,Human
20599,6698742,1.1313,Human
20624,6728887,0.1985,Human
20627,6478635,1.2307,Human
20678,6714779,1.2398,Human
20718,4531130,1.0686,Human
20730,6694747,1.644,Human
20759,6670752,1.1627,Human
20814,6398113,1.3846,Human
20835,6725876,0,Human
20883,6287903,0.3262,Human
20895,6335344,0.8829,Human
20915,6729122,0.8216,Human
20921,6726050,1.4283,Human
20946,6728553,0.5221,Human
20970,6504335,1.1195,Human
20992,6583321,0.6147,Human
21008,6697449,1.5213,Human
21009,6564067,0,Human
21053,3978153,1.0523,Human
21083,4195119,0.8003,Human
21162,6730267,1.0793,Human
21240,6328579,0.5091,Human
21266,6693221,1.213,Human
21292,6336134,0.2712,Human
21315,6430518,0,Bot
21320,6441068,1.3266,Human
21353,6662210,1.3043,Human
21409,6624750,1.1569,Human
21477,6645455,0.6914,Human
21478,6651993,0.2449,Bot
21533,6645261,0.803,Human
21587,6393168,0,Human
21588,6666157,0.9962,Human
21602,6168371,0.9003,Human
21608,6721513,0,Human
21640,6168371,0.9426,Human
21652,6716434,1.0114,Human
21671,6351493,1.4855,Human
21709,6718886,0,Human
21716,6425508,1.0956,Human
21726,6394784,0.0716,Bot
21742,4033537,0.5643,Human
21766,6543085,0.9743,Human
21820,6551424,1.1808,Human
21824,6295734,0.7963,Human
21825,6252773,0.753,Human
21826,6697851,0,Human
21835,6163078,1.0261,Human
21855,6433841,1.1792,Human
21865,3922706,1.3162,Human
21884,6695562,0.8005,Human
21893,4201722,1.3521,Human
21903,2393611,0.6931,Human
21907,6727284,1.1838,Human
21929,6435673,1.1477,Human
21933,6732804,1.1385,Bot
21935,6416438,1.3844,Human
21962,6374933,0.5004,Human
21972,6344093,1.1337,Human
22006,6698373,0,Bot
22019,6728442,0.6663,Human
22040,6326480,1.1234,Human
22071,6515098,1.2209,Human
22081,6699225,1.0192,Human
22084,6716260,0.5623,Human
22093,4474942,0.9949,Human
22102,6671981,1.3744,Human
22131,6578172,0,Bot
22147,6585816,1.2732,Human
22184,6363573,0.6382,Human
22204,6189004,0.9216,Human
22244,15272,1.0673,Human
22261,6665052,1.1211,Human
22300,6222699,0,Human
22344,6361889,0,Human
22351,6576255,0.5983,Human
22371,6733548,1.382,Human
22379,3703998,0,Human
22382,6685559,1.1903,Human
22402,6733801,0.8572,Human
22434,6310412,0.5545,Human
22441,6250806,1.0513,Human
22452,6450573,1.4316,Human
22470,6471629,0.5164,Human
22482,6679478,0.6277,Human
22499,6660160,0.6931,Human
22513,6353158,0.5929,Human
22524,6634242,1.2536,Human
22529,6563604,1.079,Human
22558,6198720,1.318,Human
22593,6674742,0.6931,Human
22694,4132949,1.4097,Human
22718,6331717,0,Human
22731,6694525,1.4504,Human
22761,6350866,0.6931,Human
22770,4132155,0.8361,Human
22773,6580878,0.6568,Human
22776,3980756,0,Human
22783,6612146,0.9052,Human
22806,6738095,0.4101,Human
22812,5143814,0.9068,Human
22841,4098256,0.74,Human
22858,2154390,0.3983,Human
22873,6719431,0.63,Human
22933,6111808,1.3089,Human
22951,6685661,0,Human
22979,6406585,0.9894,Human
23034,6470527,0,Bot
23037,6689703,0.4753,Human
23057,6414584,1.3151,Human
23076,6584542,0,Human
23086,6739498,1.2625,Human
23089,6739132,1.0268,Human
23112,3920733,0.5004,Human
23128,6738964,0.6931,Human
23161,6601772,1.293,Human
23194,3801324,1.3214,Human
23198,6348749,0.5772,Human
23228,6617702,1.0365,Human
23233,4277121,1.0746,Human
23236,3801324,1.2355,Human
23256,6582174,0.8962,Human
23260,4182821,1.2134,Human
23275,6332946,0.9428,Human
23295,4658319,1.1663,Human
23298,6559063,1.2458,Human
23299,6740728,0.5932,Human
23320,5440345,0.804,Human
23338,6727780,0.8179,Human
23363,6677399,0.673,Bot
23390,6741344,1.1022,Human
23391,6523362,0,Human
23393,6353393,1.1088,Human
23434,6310244,1.3108,Human
23447,4080280,1.0687,Human
23496,6502208,0.8405,Human
23512,4165783,0.9369,Human
23518,6681653,0.8762,Human
23533,6672293,0.9552,Human
23551,6552272,1.1049,Human
23560,6738063,1.0424,Human
23565,6493333,0.687,Human
23568,6593984,0.3393,Human
23654,6552084,1.3504,Human
23692,6733133,1.0063,Human
23699,6717050,1.1161,Human
23745,6683367,0,Human
23757,6735069,0.8695,Human
23760,4012089,0.4769,Human
23763,6294968,1.2226,Bot
23807,6304262,0.7029,Human
23827,6358140,1.3048,Human
23852,6282304,0.6931,Human
23862,6398317,0.7248,Human
23869,6602165,1.2523,Human
23910,6338754,1.0755,Human
23925,6695055,1.2154,Human
23949,2013967,1.3863,Human
23965,6158311,1.0496,Human
24083,6357747,1.0787,Human
24106,6627462,1.2972,Human
24128,6745892,0.8487,Human
24130,2672035,1.294,Human
24144,6587272,0.7694,Human
24166,6691680,1.23,Human
24177,6565861,1.3266,Human
24182,6434074,0.9075,Human
24196,6385658,1.0446,Human
24208,2892591,1.1814,Human
24214,6260051,1.1229,Human
24284,6290379,0.4023,Human
24285,6550281,0.8815,Human
24292,6526603,1.4453,Human
24295,6741107,0.9667,Human
24304,6508916,0.8526,Human
24312,6121073,0.4714,Human
24318,6595707,1.3294,Human
24342,6679099,0,Human
24346,6698833,1.1572,Human
24363,6682640,0.592,Human
24364,6749640,0,Human
24375,6579536,0.943,Human
24377,6439615,0.6944,Human
24422,6389650,1.1891,Human
24434,6580245,0.5623,Human
24446,6475631,0.6365,Bot
24454,6750634,1.1746,Human
24462,6666920,0.8074,Human
24465,6750961,1.277,Human
24466,4477505,1.1407,Human
24478,6750509,0.4293,Human
24505,6696286,0.55,Human
24522,6602051,0.8827,Human
24560,6489785,0.5092,Bot
24577,6744067,1.3031,Human
24578,6636022,0.9647,Human
24585,6749102,1.1559,Bot
24607,6750619,0.9676,Human
24608,6731684,0.8092,Human
24644,6749689,0.1105,Human
24672,6131662,0.9925,Human
24745,6661990,1.4183,Human
24780,6540837,0.6994,Bot
24795,6409018,0.7105,Human
24818,4632956,1.5541,Human
24824,4341969,1.2426,Human
24825,6705710,0.5423,Human
24865,6752083,1.1011,Human
24877,6678723,0.6059,Human
24883,3962857,0.1359,Human
24893,6752780,0.9589,Human
24910,6341601,1.4629,Human
24934,6747128,1.2464,Human
24940,6458274,0,Human
24954,6656616,1.0493,Human
24986,6500974,1.667,Human
25003,6671147,0.2146,Human
25018,6591400,0.687,Human
25049,6526843,0.8935,Human
25087,6405865,1.1126,Human
25127,6749433,0.6616,Human
25140,5055681,0.9845,Human
25141,6754396,0.7356,Human
25183,6753555,1.2416,Human
25194,6743672,1.388,Human
25232,6740416,1.212,Human
25271,6688895,1.152,Human
25310,6668576,0.9527,Human
25333,6600985,0,Human
25351,6518600,1.0149,Human
25357,6323151,1.1295,Human
25378,6285981,0.6931,Human
25379,6600985,0,Human
25405,4046266,1.1869,Bot
25447,6342299,1.3587,Human
25488,6357496,0.536,Human
25503,6325323,0,Human
25532,6752267,1.326,Human
25538,4005196,1.1992,Human
25546,6748045,0.6829,Human
25555,6533309,0.9867,Human
25567,6744452,0.5835,Human
25573,6754995,0.8284,Human
25582,6757589,1.3099,Bot
25587,6278505,1.1493,Human
25636,6408406,1.4607,Human
25644,6508832,1.4965,Human
25646,6757620,0.7841,Human
25647,6334564,1.1387,Human
25657,6697675,0.9596,Human
25681,6370142,1.2149,Human
25744,6313206,1.2265,Human
25746,6740713,1.1584,Human
25800,6706866,1.1654,Human
25818,6760340,0.4506,Human
25824,6760055,0.9946,Human
25828,6690473,0,Bot
25829,784029,0.9619,Human
25859,6499109,0,Human
25878,6695010,0.8979,Human
25903,6327735,1.1338,Human
25991,6538152,0.6337,Human
26007,5025827,1.1787,Human
26024,6233649,0,Human
26051,6429080,1.1786,Human
26063,4353052,0,Human
26129,6605372,0.7394,Human
26148,6412646,1.213,Human
26184,6766396,0.3046,Human
26188,6518911,0.633,Human
26203,3813168,1.3872,Human
26205,6542517,1.0649,Human
26212,6296703,0.6385,Human
26216,6296740,1.1158,Human
26217,6768137,1.4039,Human
26218,6404272,0.585,Human
26226,6390025,0,Human
26250,6765653,0,Human
26252,6764668,1.0739,Human
26254,6756246,1.165,Human
26259,6295962,1.2314,Human
26265,3961459,0,Bot
26316,6700767,0.9433,Human
26327,6296034,0.7938,Human
26335,6760281,1.0691,Human
26346,0,1.3291,Human
26371,6476214,1.2912,Human
26380,6757295,0.9716,Human
26391,6575030,1.1876,Human
26398,6327932,1.1748,Human
26425,6760441,0.6931,Human
26433,6766532,1.0184,Human
26434,6513416,1.111,Human
26471,4482853,1.0692,Human
26476,6743091,1.0397,Human
26498,4537181,0.7922,Human
26520,4471724,0.7595,Human
26521,4783042,1.2521,Human
26544,6499080,1.1902,Human
26549,2407513,0.6365,Human
26570,6705410,0,Human
26586,6586071,0.7691,Human
26661,6348010,0.9562,Human
26709,6348010,1.3186,Human
26839,6386829,0.9009,Human
26840,6641394,1.0438,Human
